來源,編號,族,格,窗,資料,年化中位,回落中位,進前緣,註,比值,混0050族,前緣_主窗,前緣_含舊窗（窗不同、只供參考）,措辭
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=True｜N20｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.3305834015678141,-0.346978896351991,False,已有主窗重跑版（#16）,0.9527478617387019,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=False｜N20｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.3293934902740901,-0.4567144631220972,True,,0.7212241277019306,False,False,False,
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#14,P1,AND｜N20｜d=inf｜null,主窗,edc6f,0.32579095979865424,-0.32548590792016463,True,,1.0009372199258606,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=False｜N40｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.324800756738185,-0.2624000684678106,True,,1.2378074389794957,False,False,False,
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#15,PREREG10,AND｜regime=False｜N20｜H60,主窗,edc6f,0.32460754998966157,-0.32566197911624695,True,,0.9967621976337342,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N40｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3231462657135755,-0.2610274251110452,True,,1.2379782146496827,False,False,True,
resultsN219/table219.csv,219,P1,AND｜N8｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3196071538715821,-0.4326122780650668,False,已有主窗重跑版（#11）,0.7387842880952902,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N8｜d=3.0｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3196071538715821,-0.4326122780650668,False,已有主窗重跑版（#11）,0.7387842880952902,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N2｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3194507399703505,-0.8247429259395476,True,,0.38733371323728794,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=True｜N10｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.3193626811863502,-0.4135719271386452,False,已有主窗重跑版（#7）,0.7722058975228451,False,False,False,
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#17,PREREG10,AND｜regime=True｜N20｜H120（t−1 閘）,主窗,edc6f,0.31835948731524977,-0.40998284433833443,True,t−1 版,0.7765190463738688,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3179868464159168,-0.4623769878322044,True,,0.6877220423679768,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=3.0｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3179868464159168,-0.4623769878322044,True,,0.6877220423679768,False,False,False,
rerun17.csv 主窗（原版）,#17,PREREG10,AND｜regime=True｜N20｜H120（原版：進場日收盤判閘）,主窗,edc6f,0.31786842237686386,-0.41156909780273687,False,含日內前視、不進前緣,0.7723330640562734,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=False｜N30｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.3174806565992503,-0.3385209606140403,True,,0.9378463774395973,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N30｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3170872318131121,-0.3394896742169383,True,,0.9340114174149793,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N2｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.3121295706298062,-0.8231518924235687,True,,0.3791883047378015,False,False,False,
resultsP9run/cells.csv,P9 Cc,P9 2-C,ⓒ 0050＜MA60 ⇒ 新部位 1.5 slot（跌破加碼）,主窗,edc6f,0.3018855129193331,-0.4270700592599388,True,,0.7068758541454873,False,False,False,
resultsN219/table219.csv,219,P6,排除④｜N5,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.3016116331073467,-0.4441153646764824,True,,0.6791290216384585,False,False,False,
resultsN219/table219.csv,219,P1,S｜N5｜d=inf｜relvol,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.299694617995575,-0.4998430374727183,True,,0.5995774583774861,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=False｜N10｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2992208000479109,-0.4479374688626056,True,,0.6679968094825528,False,False,False,
resultsP9run/cells.csv,P9 Bb,P9 2-B,ⓑ 貼近 120 日高點三分位 ⇒ 加 0.5 slot,主窗,edc6f,0.2956077115714364,-0.41954537764252253,True,,0.7045905575994967,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N5｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2954240279622051,-0.5304380660470402,True,,0.5569434904319374,False,False,False,
resultsP9run/cells.csv,P9 Ba,P9 2-B,ⓐ 收盤 ≥ 進場 +15% ⇒ 加 0.5 slot,主窗,edc6f,0.29465565990407183,-0.4196657175110944,True,,0.702119919757997,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N5｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2944533424998166,-0.4964841921947555,True,,0.593076974310416,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N10｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2941299846502553,-0.4478599060924928,True,,0.6567455149457184,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N3｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2938557650119877,-0.7353547260445153,True,,0.3996109015204709,False,False,False,
rerun17.csv 主窗（原版）,#16,PREREG10,AND｜regime=True｜N20｜H60（原版：進場日收盤判閘）,主窗,edc6f,0.29230811580576244,-0.37459106112120255,False,含日內前視、不進前緣,0.7803392716602582,False,False,False,
resultsN219/table219.csv,219,P7 敏感度,N5｜none,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2893799077647728,-0.4309519315771217,True,,0.6714899889315993,False,False,False,
resultsN219/table219.csv,219,BASELINE 門檻B,N5｜none,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2893799077647728,-0.4309519315771217,True,,0.6714899889315993,False,False,False,
resultsN219/table219.csv,219,P11,B｜fix｜0.25,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.289037260496998,-0.42403705852759,True,,0.6816320759809058,False,False,False,
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#16,PREREG10,AND｜regime=True｜N20｜H60（t−1 閘）,主窗,edc6f,0.288580339924435,-0.3916330642325778,True,t−1 版,0.7368640860033635,False,False,False,
resultsN219/table219.csv,219,P6,排除④｜N8,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2876415765178411,-0.423878595797039,True,,0.6785942469611493,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N3｜d=inf｜relvol,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2862180597184109,-0.7530674955071305,True,,0.38006959724860523,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=False｜N30｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2856433486799683,-0.4276662433181264,True,,0.667911842804689,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=True｜N30｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.285641589948173,-0.3061175424321214,False,含日內前視（進場日收盤判閘）,0.9331108164489177,False,False,False,
resultsN219/table219.csv,219,P13,W1｜全窗,主窗,舊快照,0.2846459419999868,-0.4016369715214389,True,,0.7087144914018273,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=1.0｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.28386698444392,-0.47907188451535,True,,0.5925352616572191,False,False,False,
resultsN219/table219.csv,219,P13,W0｜全窗,主窗,舊快照,0.2828638811341636,-0.4207179990427505,True,,0.6723360583045104,False,False,False,
resultsN219/table219.csv,219,P14,w=1.00,主窗,舊快照,0.2820350701063953,-0.4143242693545859,True,,0.6807109574964936,True,False,False,混 0050 族的假訊號也常過
resultsN219/table219.csv,219,P15,G0,主窗,舊快照,0.2820350701063953,-0.4143242693545859,True,,0.6807109574964936,False,False,False,
resultsN219/table219.csv,219,P16,E0,主窗,舊快照,0.2820350701063953,-0.4143242693545859,True,,0.6807109574964936,False,False,False,
resultsN219/table219.csv,219,P7 停損四族,N8｜none（＝門檻B 本體 N=8）,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2817705153793955,-0.4180245111279412,True,,0.6740526162427743,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N8｜d=1.0｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2814511636679452,-0.4580298811427668,True,,0.6144821009619186,False,False,False,
resultsN17/seeds_main.csv 格 0（200 顆中位）,門檻B,P12,門檻B W1（策略側 H120 N8；rerun17 描述臂）,主窗,edc6f,0.2814507120254124,-0.41432426935458594,True,,0.6793005692469875,False,False,False,
resultsP9run/cells.csv,P9 base,P9 基準,基準臂（加減碼全關）,主窗,edc6f,0.27888696579884664,-0.42504991636109396,True,基準臂（＝門檻B N8、種子 99000＋r）,0.65612756305526,False,False,False,
resultsN219/table219.csv,219,P11,C｜fix｜0.75,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2784780121741194,-0.394558890756297,True,,0.705795810709849,False,False,False,
resultsN219/table219.csv,219,P11,B｜fix｜0.35,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.278221001319214,-0.4085483252908655,True,,0.6809990008431314,False,False,False,
resultsN219/table219.csv,219,P6,不排除④｜N8,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.277810573986445,-0.4156584993033577,True,,0.6683625487077844,False,False,False,
resultsP9run/cells.csv,P9 Bc,P9 2-B,ⓒ 持有滿 40 根仍為正 ⇒ 加 0.5 slot,主窗,edc6f,0.2770435105053425,-0.42307241383102123,True,,0.6548370951361439,False,False,False,
resultsN219/table219.csv,219,P9ⓑ,base,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2768772767858816,-0.4250499165027687,True,,0.6513994381271172,False,False,False,
resultsN219/table219.csv,219,P6,不排除④｜N5,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2761676274130371,-0.4299718028848225,True,,0.6422924144330802,False,False,False,
resultsN219/table219.csv,219,P14,w=0.75,主窗,舊快照,0.272619961382907,-0.3751920045283324,True,,0.726614528275003,True,False,False,混 0050 族的假訊號也常過
resultsN219/table219.csv,219,P1,AND｜N8｜d=2.0｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2710899785231117,-0.460827037613491,True,,0.5882683879119148,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=True｜N30｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2707407409454044,-0.4224740396666196,False,含日內前視（進場日收盤判閘）,0.6408458639471667,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=2.0｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2704656816438014,-0.4893038065940479,True,,0.5527561363694723,False,False,False,
resultsN219/table219.csv,219,P17,W_fix（w＝0.5 各半混 0050；事後比判準）,主窗,舊快照,0.2689738167220883,-0.3320392068029371,True,,0.8100664355632026,True,False,False,混 0050 族的假訊號也常過
resultsN219/table219.csv,219,BASELINE 門檻B,N10｜none,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2687196308815535,-0.414517700489053,True,,0.6482705818461185,False,False,False,
resultsN219/table219.csv,219,P6,排除④｜N10,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2681651304524043,-0.4116571138074825,True,,0.6514283889621197,False,False,False,
resultsN219/table219.csv,219,P17,R_eq（判定格）,主窗,舊快照,0.26793188272140567,-0.3270196253806906,False,已有主窗重跑版（#5）,0.8193143833783687,True,False,False,混 0050 族的假訊號也常過
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#5,P17,R_eq（判定格）,主窗,edc6f,0.2678297058591341,-0.3270196253806906,True,,0.8190019346617127,True,False,False,混 0050 族的假訊號也常過
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#12,PREREG10,AND｜regime=False｜N10｜H120,主窗,edc6f,0.2651422833186021,-0.45494015009745153,True,,0.582806954413249,False,False,False,
resultsN219/table219.csv,219,P7 停損四族,N8｜fix 8%,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.263536202687965,-0.367137687300166,True,,0.7178129944270798,False,False,False,
resultsN219/table219.csv,219,P14,w=0.50（＝各半混 0050）,主窗,舊快照,0.2625773543923834,-0.3415766621879117,False,已有主窗重跑版（#8）,0.7687215886193407,True,False,False,混 0050 族的假訊號也常過
resultsN219/table219.csv,219,P11,C｜fix｜0.5,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2623218646241223,-0.401598024973557,True,,0.6531951063290083,False,False,False,
PREREGV 17 格（resultsN17/regime_t1/all17.csv）,#8,P14,w=0.50（＝各半混 0050）,主窗,edc6f,0.2622450097089257,-0.3415766621879117,True,,0.7677486161646979,True,False,False,混 0050 族的假訊號也常過
resultsN219/table219.csv,219,P1,AND｜N8｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2615694714190694,-0.460401021018164,True,,0.5681339950997846,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N8｜d=3.0｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2615694714190694,-0.460401021018164,True,,0.5681339950997846,False,False,False,
resultsN219/table219.csv,219,PREREGF,F 200 顆中位,主窗,舊快照,0.26138208246620614,-0.4026648661819969,True,,0.6491305907679226,False,False,False,
resultsN219/table219.csv,219,BASELINE 門檻B,N3｜none,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2602803294729016,-0.4906834876747336,True,,0.5304444433341873,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.259819266573391,-0.4870430518603141,True,,0.5334626283672109,False,False,False,
resultsN219/table219.csv,219,P3 乙臂（閒置放 0050）,N≤8｜N8｜d=3.0｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.259819266573391,-0.4870430518603141,True,,0.5334626283672109,False,False,False,
resultsN219/table219.csv,219,P1,S｜N30｜d=inf｜relvol,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.257910706445382,-0.354072148279991,True,,0.7284128607637135,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=True｜N40｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2578152507971336,-0.2411280683858154,False,含日內前視（進場日收盤判閘）,1.0692046451623292,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=True｜N10｜LD,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2566186952247521,-0.3070879539491644,False,已有主窗重跑版（#4）,0.8356521052832734,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=False｜N40｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.25643036742221,-0.4111837168555439,True,,0.6236394023168444,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,S｜regime=False｜N10｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.255421030157306,-0.4273463505512005,True,,0.5976909123661837,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=True｜N40｜H120,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2548126713234369,-0.3882251024338949,False,含日內前視（進場日收盤判閘）,0.6563528986815713,False,False,False,
resultsN219/table219.csv,219,P11,C｜var｜0.75,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2545849724882981,-0.4330750769814397,True,,0.5878541297337432,False,False,False,
resultsN219/table219.csv,219,P1,S｜N10｜d=inf｜null,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2528731148424146,-0.4212508298566667,True,,0.600291078188395,False,False,False,
resultsN219/table219.csv,219,P11,B｜fix｜0.5,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2523986783385942,-0.4036494116679796,True,,0.6252918276174867,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,OR｜regime=False｜N10｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2518980937157512,-0.4355661313304717,True,,0.5783234177237525,False,False,False,
resultsP9run/cells.csv,P9 A2,P9 2-A,分批進場 k＝2,主窗,edc6f,0.25159089819974423,-0.38012662637210504,True,,0.6618607609809014,False,False,False,
resultsN219/table219.csv,219,P1,S｜N20｜d=inf｜relvol,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2515906093111946,-0.3976400260709369,True,,0.6327094679002766,False,False,False,
resultsN219/table219.csv,219,PREREG9／研究十一（事後補）,N10｜H60,舊窗（0050 錨 0.2490）,舊快照＋舊窗,0.251,-0.423,True,,0.5933806146572104,False,False,False,
resultsN219/table219.csv,219,P1,S｜N8｜d=3.0｜null,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2496937815459482,-0.4525222846530609,True,,0.5517822878875083,False,False,False,
resultsN219/table219.csv,219,P6,不排除④｜N10,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2495886046481545,-0.4114097970574029,True,,0.6066666531359487,False,False,False,
resultsN219/table219.csv,219,P11,C｜fix｜0.35,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2475066861298908,-0.438572911286282,True,,0.5643455848743216,False,False,False,
resultsN219/table219.csv,219,P11,C｜var｜0.5,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2473736595756901,-0.4521860939761709,True,,0.54706162544823,False,False,False,
resultsP9run/cells.csv,P9 Ce,P9 2-C,ⓔ 0050＜MA10 ⇒ 新部位 0.5 slot,主窗,edc6f,0.24681438699460279,-0.37905816685451277,True,,0.6511253643278796,False,False,False,
resultsN219/table219.csv,219,PREREGC,C 單一路徑,主窗,舊快照,0.2462,-0.4151,True,,0.5931100939532642,False,False,False,
resultsN219/table219.csv,219,P1,S｜N8｜d=2.0｜null,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.24551884135923,-0.4357270360581336,True,,0.5634693765627926,False,False,False,
resultsN219/table219.csv,219,P7 停損四族,N8｜fix 15%,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2452420102664279,-0.3967407074798961,True,,0.6181417879304835,False,False,False,
resultsN219/table219.csv,219,P11,C｜fix｜0.25,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2442186004396543,-0.4791176268135948,True,,0.5097257683125689,False,False,False,
resultsN219/table219.csv,219,P1,S｜N8｜d=inf｜null,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2430813070405749,-0.4486368612367364,True,,0.5418219679285469,False,False,False,
resultsN219/table219.csv,219,P7 敏感度,N5｜fix 15%,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2402915074558046,-0.4287022638532712,True,,0.5605090705516951,False,False,False,
rerun17 0050 錨（P17 W0 逐位元）,0050,0050,0050 買進持有,主窗,edc6f,0.24020209886370614,-0.3395700527611012,True,,0.7073712681980713,False,False,False,
resultsN219/table219.csv,219,P14,w=0.00（＝0050 本身）,主窗,舊快照,0.2402020988637061,-0.3395700527611012,True,,0.7073712681980713,True,False,False,混 0050 族的假訊號也常過
resultsP9run/cells.csv,P9 Cb_ref,P9 參照,ⓑ 0050＜MA60 ⇒ 新部位 0.5 slot（主窗參照，⛔ 不判、不計 N）,主窗,edc6f,0.2386790052126061,-0.3851052222893562,True,參照臂（不判）,0.6197760804013975,False,False,False,
resultsP9run/cells.csv,P9 Cf,P9 2-C,ⓕ 0050 跌破 MA60 ⇒ 手上各賣一半、站回補回,主窗,edc6f,0.23834416189430485,-0.35593404487653013,True,,0.6696301332371395,False,False,False,
resultsN219/table219.csv,219,PREREG10／研究十三,AND｜regime=False｜N10｜LD,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2380868940691763,-0.3706816546606116,True,,0.6422947860399612,False,False,False,
resultsN219/table219.csv,219,P7 停損四族,N8｜fix 20%,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2369736360624208,-0.4064997628864005,True,,0.5829613143677157,False,False,False,
resultsN219/table219.csv,219,P9ⓑ,b,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2366572319849662,-0.3851052222893562,True,,0.6145261561972516,False,False,False,
resultsN219/table219.csv,219,P11,C｜var｜0.35,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2362332370379922,-0.4718364051676336,True,,0.5006676772939203,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,AND｜regime=False｜N30｜LD,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2353667245023512,-0.3755011779067656,True,,0.6268068873030037,False,False,False,
resultsN219/table219.csv,219,P11,C｜var｜0.25,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.235035546327,-0.506756540092556,True,,0.46380367638486164,False,False,False,
resultsN219/table219.csv,219,P11,B｜var｜0.75,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2342660893012981,-0.4565818052877198,True,,0.5130867822331924,False,False,False,
resultsN219/table219.csv,219,P1,S｜N8｜d=3.0｜relvol,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2339891205442721,-0.4787589300726488,True,,0.4887410048075044,False,False,False,
resultsN219/table219.csv,219,BASELINE 門檻B,N15｜none,舊窗（0050 錨 0.2454）,舊快照＋舊窗,0.2334482442687013,-0.3938718790367156,True,,0.5927009687506529,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,S｜regime=False｜N30｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2332888392006357,-0.3820186451603776,True,,0.6106739609599351,False,False,False,
rerun17.csv 主窗（原版）,#4,PREREG10,AND｜regime=True｜N10｜LD（原版：進場日收盤判閘）,主窗,edc6f,0.23252129594286408,-0.3173951289783119,False,含日內前視、不進前緣,0.7325925154911644,False,False,False,
resultsN219/table219.csv,219,P1,AND｜N3｜d=inf｜null,舊窗（0050 錨 0.2410）,舊快照＋舊窗,0.2310109042210593,-0.6535671696379288,True,,0.35346161030248435,False,False,False,
resultsN219/table219.csv,219,PREREG11／研究十三b,S｜regime=False｜N40｜H60,舊窗（0050 錨 0.2480）,舊快照＋舊窗,0.2308599032017541,-0.3670064713020353,True,,0.6290349660122568,False,False,False,
