vid,登錄#,型態（登錄）,健檢總表列名,型態性質,名稱隱含方向,實測數字,方向判定,整體表現排名,推出_事前,推出_d,登錄_事前,登錄_d,一致
K19,19,胃部之上,胃部之上 Above the Stomach,反轉,看漲反轉,反轉率66%,一致,31/103,降,1,降,1,True
K20,20,紅三兵,紅三兵 Three White Soldiers,反轉,看漲反轉,反轉率82%,一致,32/103,降,1,降,1,True
K21,21,On Neck,On Neck,續勢（定義）,看跌續勢,續勢率56%,定義上就是續勢（接近隨機）,33/103,降,-1,降,-1,True
K22,22,力車夫,力車夫 Rickshaw Man,中性（理論：猶豫）,無明確方向,續勢51%（近似隨機）,接近隨機,35/103,無,續,無,續,True
K23,23,多頭分離線,多頭分離線 Bullish Separating Lines,續勢（定義）,看漲續勢,續勢率72%,定義上就是續勢,36/103,升,1,升,1,True
K24,24,長腳十字,長腳十字 Long Legged Doji,中性,無明確方向（無須事前趨勢）,續勢率51%,接近隨機,37/103,無,續,無,續,True
K25,25,多頭母子線,多頭母子線 Bullish Harami,反轉,看漲反轉,反轉率53%,一致（接近隨機）,38/103,降,1,降,1,True
K26,26,空頭分離線,空頭分離線 Bearish Separating Lines,續勢（定義）,看跌續勢,續勢率63%,定義上就是續勢,40/103,降,-1,降,-1,True
K27,27,收盤黑色光頭光腳,收盤黑色光頭光腳 Closing Black Marubozu,中性,無明確方向,續勢率52%,接近隨機,43/103,無,續,無,續,True
K28,28,平頭底部,平頭底部 Tweezers Bottom,反轉,看漲反轉,⚠續勢率52%（實測是看跌續勢）,⚠不一致－反轉當續勢（接近隨機）,44/103,降,-1,降,-1,True
K29,29,多頭Breakaway,多頭Breakaway（缺口收復）,反轉,看漲反轉,反轉率59%,一致（接近隨機）,45/103,降,1,降,1,True
K30,30,多久里線,多久里線 Takuri Line,反轉,看漲反轉,反轉率66%（⚠與錘子定義邊界模糊）,一致,47/103,降,1,降,1,True
K31,31,最後吞噬底,最後吞噬底 Last Engulfing Bottom,反轉（理論）,看漲反轉,⚠⚠⚠續勢率65%（原文：實際表現為看跌續勢）,⚠⚠⚠不一致－反轉當續勢,48/103,降,-1,降,-1,True
K32,32,看漲十字星,看漲十字星 Bullish Doji Star,反轉（理論）,看漲反轉,⚠⚠⚠續勢率64%（原文：實際表現為看跌續勢）,⚠⚠⚠不一致－反轉當續勢,49/103,降,-1,降,-1,True
K33,33,多頭母子十字,多頭母子十字 Bullish Harami Cross,反轉,看漲反轉,⚠續勢率55%（實測是看跌續勢）,⚠不一致－反轉當續勢（接近隨機）,50/103,降,-1,降,-1,True
K34,34,看跌十字星,看跌十字星 Bearish Doji Star,反轉（理論）,看跌反轉,⚠⚠⚠續勢率69%（原文：實際表現為看漲續勢）,⚠⚠⚠不一致－反轉當續勢,51/103,升,1,升,1,True
K35,35,長白日,"長白日 Long day, white",中性（身型分類）,無明確方向,續勢58%（原文自稱意外不隨機）,接近隨機,53/103,無,續,無,續,True
K36,36,上漲受阻,上漲受阻 Advance Block,續勢（定義）,常被講成看跌反轉,續勢率64%,定義上就是續勢（外觀易誤讀）,54/103,升,1,升,1,True
K37,37,黑色光頭光腳,黑色光頭光腳 Black Marubozu,中性,無明確方向,續勢率53%,接近隨機,57/103,無,續,無,續,True
K38,38,開盤黑色光頭光腳,開盤黑色光頭光腳 Opening Black Marubozu,中性,無明確方向,續勢率52%,接近隨機,58/103,無,續,無,續,True
K39,39,胃部之下,胃部之下 Below the Stomach,反轉,看跌反轉,反轉率60%,一致,59/103,升,-1,升,-1,True
K40,40,短黑蠟燭,"短黑蠟燭 Candle, short black",中性（身型分類）,無明確方向,反轉52%（近似隨機）,接近隨機,66/103,無,反,無,反,True
K41,41,高浪線,高浪線 High Wave,中性（身型分類）,無明確方向,反轉51%（近似隨機）,接近隨機,67/103,無,反,無,反,True
K42,42,白色蠟燭,"白色蠟燭 Candle, white",中性（身型分類）,無明確方向,續勢51%（近似隨機）,接近隨機,68/103,無,續,無,續,True
K43,43,白色紡錘線,白色紡錘線 White Spinning Top,中性,無明確方向,反轉率50%,接近隨機,69/103,無,反,無,反,True
K44,44,收盤白色光頭光腳,收盤白色光頭光腳 Closing White Marubozu,中性,無明確方向,續勢率55%,接近隨機,70/103,無,續,無,續,True
K45,45,白色光頭光腳,白色光頭光腳 White Marubozu,中性,無明確方向,續勢率56%,接近隨機,71/103,無,續,無,續,True
K46,46,空頭母子線,空頭母子線 Bearish Harami,反轉,看跌反轉,⚠續勢率53%（實測是看漲續勢）,⚠不一致－反轉當續勢（接近隨機）,72/103,升,1,升,1,True
K47,47,黑色紡錘線,黑色紡錘線 Black Spinning Top,中性,無明確方向,反轉率51%,接近隨機,73/103,無,反,無,反,True
K48,48,開盤白色光頭光腳,開盤白色光頭光腳 Opening White Marubozu,中性,無明確方向,續勢率54%,接近隨機,75/103,無,續,無,續,True
K49,49,墓碑十字,墓碑十字 Gravestone Doji,反轉,看跌反轉,反轉率51%（近似隨機）,一致（接近隨機）,77/103,升,-1,升,-1,True
K50,50,南方十字,南方十字 Southern Doji,反轉,看漲反轉,反轉率52%（原文：near random）,一致（接近隨機）,78/103,降,1,降,1,True
K51,51,最後吞噬頂,最後吞噬頂 Last Engulfing Top,反轉（理論）,看跌反轉,⚠⚠⚠續勢率68%（原文：實際表現為看漲續勢）,⚠⚠⚠不一致－反轉當續勢,79/103,升,1,升,1,True
K52,52,空頭母子十字,空頭母子十字 Bearish Harami Cross,反轉,看跌反轉,⚠續勢率57%（實測是看漲續勢）,⚠不一致－反轉當續勢（接近隨機）,80/103,升,1,升,1,True
K53,53,平頭頂部,平頭頂部 Tweezers Top,反轉,看跌反轉,⚠續勢率56%（實測是看漲續勢）,⚠不一致－反轉當續勢（接近隨機）,81/103,升,1,升,1,True
K54,54,黑色蠟燭,"黑色蠟燭 Candle, black",中性（身型分類）,無明確方向,續勢52%（近似隨機）,接近隨機,82/103,無,續,無,續,True
K55,55,北方十字,北方十字 Northern Doji,反轉,看跌反轉,⚠續勢率51%（實測是看漲續勢）,⚠不一致－反轉當續勢（接近隨機）,83/103,升,1,升,1,True
K56,56,多頭吞噬,多頭吞噬 Bullish Engulfing,反轉,看漲反轉,反轉率63%,一致,84/103,降,1,降,1,True
K57,57,短白蠟燭,"短白蠟燭 Candle, short white",中性（身型分類）,無明確方向,反轉52%（近似隨機）,接近隨機,85/103,無,反,無,反,True
K58,58,吊人,吊人 Hanging Man,反轉,看跌反轉,⚠續勢率59%（實測是看漲續勢）,⚠不一致－反轉當續勢（接近隨機）,87/103,升,1,升,1,True
K59,59,向下跳空十字,向下跳空十字 Gapping Down Doji,續勢（理論）,看跌續勢,⚠⚠反轉率56%（原文：實際表現為看漲反轉，原文自稱near random）,⚠⚠不一致－續勢當反轉（接近隨機）,88/103,降,1,降,1,True
K60,60,下跌三法,下跌三法 Falling Three Methods,續勢（定義）,看跌續勢,續勢率71%,定義上就是續勢,89/103,降,-1,降,-1,True
K61,61,空頭吞噬,空頭吞噬 Bearish Engulfing,反轉,看跌反轉,反轉率79%,一致,91/103,升,-1,升,-1,True
K62,62,向上跳空十字,向上跳空十字 Gapping Up Doji,續勢（理論）,看漲續勢,⚠⚠反轉率57%（原文：實際表現為看跌反轉，原文自稱near random）,⚠⚠不一致－續勢當反轉（接近隨機）,92/103,升,-1,升,-1,True
K63,63,停頓型態,停頓型態 Deliberation／Stalled,續勢（定義）,常被講成看跌反轉,續勢率77%,定義上就是續勢（外觀易誤讀）,93/103,升,1,升,1,True
K64,64,上升三法,上升三法 Rising Three Methods,續勢（定義）,看漲續勢,續勢率74%,定義上就是續勢,94/103,升,1,升,1,True
K65,65,看漲反沖線,看漲反沖線 Bullish Kicking,反轉,看漲反轉,反轉率53%（原文：near random，樣本極稀少）,一致（接近隨機，樣本極端稀少）,96/103,降,1,降,1,True
K66,66,崩潰十字星,崩潰十字星 Collapsing Doji Star,反轉,看跌反轉,反轉率63%（⚠⚠⚠樣本僅16筆，Bulkowski原文自稱不可靠）,一致（樣本極端稀少）,97/103,升,-1,升,-1,True
K67,67,蜻蜓十字,蜻蜓十字 Dragonfly Doji,反轉,看漲反轉,反轉率50%（Bulkowski建議忽略）,一致（接近隨機）,98/103,降,1,降,1,True
K68,68,看跌反沖線,看跌反沖線 Bearish Kicking,反轉,看跌反轉,反轉率54%（近似隨機，⚠⚠⚠樣本僅116筆，原文稱本表倒數第二差）,一致（接近隨機，樣本極端稀少）,102/103,升,-1,升,-1,True
S01,S01,M頭,（價格結構：出處 還沒測的型態 表）,,空,,,,r60 頂＞0／底＜0（登錄 §四）,-1,,-1,
S02,S02,三重底,（價格結構：出處 還沒測的型態 表）,,多,,,,r60 頂＞0／底＜0（登錄 §四）,1,,1,
S03,S03,三重頂,（價格結構：出處 還沒測的型態 表）,,空,,,,r60 頂＞0／底＜0（登錄 §四）,-1,,-1,
S04,S04,對稱三角_向上,（價格結構：出處 還沒測的型態 表）,,待突破方向決定,,,,—,突破方向（seq171 §三③）,,1,
S05,S05,對稱三角_向下,（價格結構：出處 還沒測的型態 表）,,待突破方向決定,,,,—,突破方向（seq171 §三③）,,-1,
S06,S06,上升三角_向上,（價格結構：出處 還沒測的型態 表）,,待突破方向決定,,,,—,突破方向（seq171 §三③）,,1,
S07,S07,上升三角_向下,（價格結構：出處 還沒測的型態 表）,,待突破方向決定,,,,—,突破方向（seq171 §三③）,,-1,
S08,S08,下降三角_向上,（價格結構：出處 還沒測的型態 表）,,待突破方向決定,,,,—,突破方向（seq171 §三③）,,1,
S09,S09,下降三角_向下,（價格結構：出處 還沒測的型態 表）,,待突破方向決定,,,,—,突破方向（seq171 §三③）,,-1,
S10,S10,上升楔形_向上,（價格結構：出處 還沒測的型態 表）,,反轉徵兆,,,,—,突破方向（seq171 §三③）,,1,
S11,S11,上升楔形_向下,（價格結構：出處 還沒測的型態 表）,,反轉徵兆,,,,—,突破方向（seq171 §三③）,,-1,
S12,S12,下降楔形_向上,（價格結構：出處 還沒測的型態 表）,,反轉徵兆,,,,—,突破方向（seq171 §三③）,,1,
S13,S13,下降楔形_向下,（價格結構：出處 還沒測的型態 表）,,反轉徵兆,,,,—,突破方向（seq171 §三③）,,-1,
S14,S14,擴散頂_向上,（價格結構：出處 還沒測的型態 表）,,空（但向上突破仍佔六成）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,1,
S15,S15,擴散頂_向下,（價格結構：出處 還沒測的型態 表）,,空（但向上突破仍佔六成）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,-1,
S16,S16,擴散底_向上,（價格結構：出處 還沒測的型態 表）,,多（向下突破排名也優於擴散頂）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,1,
S17,S17,擴散底_向下,（價格結構：出處 還沒測的型態 表）,,多（向下突破排名也優於擴散頂）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,-1,
S18,S18,鑽石頂_向上,（價格結構：出處 還沒測的型態 表）,,空（但向下突破才是強項）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,1,
S19,S19,鑽石頂_向下,（價格結構：出處 還沒測的型態 表）,,空（但向下突破才是強項）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,-1,
S20,S20,鑽石底_向上,（價格結構：出處 還沒測的型態 表）,,多（但向下突破排名更好，方向不對稱）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,1,
S21,S21,鑽石底_向下,（價格結構：出處 還沒測的型態 表）,,多（但向下突破排名更好，方向不對稱）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,-1,
S22,S22,圓形底,（價格結構：出處 還沒測的型態 表）,,多,,,,r60 頂＞0／底＜0（登錄 §四）,1,,1,
S23,S23,圓形頂_向上,（價格結構：出處 還沒測的型態 表）,,空（但向上突破反而更常見更可靠）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,1,
S24,S24,圓形頂_向下,（價格結構：出處 還沒測的型態 表）,,空（但向上突破反而更常見更可靠）,,,,r60 頂＞0／底＜0（登錄 §四）,突破方向（seq171 §三③）,,-1,
S25,S25,島型頂,（價格結構：出處 還沒測的型態 表）,,依方向（頂空／底多）,,,,r60 頂＞0／底＜0（登錄 §四）,-1,,-1,
S26,S26,島型底,（價格結構：出處 還沒測的型態 表）,,依方向（頂空／底多）,,,,r60 頂＞0／底＜0（登錄 §四）,1,,1,
S27,S27,V型反轉,（價格結構：出處 還沒測的型態 表）,,多,,,,—,1,,1,
S28,S28,平台整理,（價格結構：出處 還沒測的型態 表）,,多方續勢,,,,—,1,,1,
