stock_id,name,market,capital,shares,par,source,asof,note
00761B,國泰A級公司債,tpex,,2735089000,,universe:2026-09-03,2026-09-04,feed-shares
00764B,群益25年美債,tpex,,1545000000,,universe:2026-09-03,2026-09-04,feed-shares
00768B,復華20年美債,tpex,,791600000,,universe:2026-09-03,2026-09-04,feed-shares
00772B,中信高評級公司債,tpex,,3370790000,,universe:2026-09-03,2026-09-04,feed-shares
00773B,中信優先金融債,tpex,,2595790000,,universe:2026-09-03,2026-09-04,feed-shares
00777B,凱基AAA至A公司債,tpex,,2076650000,,universe:2026-09-03,2026-09-04,feed-shares
00778B,凱基金融債20+,tpex,,1522150000,,universe:2026-09-03,2026-09-04,feed-shares
00779B,凱基美債25+,tpex,,1297650000,,universe:2026-09-03,2026-09-04,feed-shares
00780B,國泰A級金融債,tpex,,246102000,,universe:2026-09-03,2026-09-04,feed-shares
00781B,國泰A級科技債,tpex,,8336000,,universe:2026-09-03,2026-09-04,feed-shares
00782B,國泰A級公用債,tpex,,20467000,,universe:2026-09-03,2026-09-04,feed-shares
00785B,富邦金融投等債,tpex,,1063466000,,universe:2026-09-03,2026-09-04,feed-shares
00786B,元大10年IG銀行債,tpex,,19566000,,universe:2026-09-03,2026-09-04,feed-shares
00787B,元大10年IG醫療債,tpex,,11806000,,universe:2026-09-03,2026-09-04,feed-shares
00788B,元大10年IG電能債,tpex,,24706000,,universe:2026-09-03,2026-09-04,feed-shares
00789B,復華公司債A3,tpex,,455600000,,universe:2026-09-03,2026-09-04,feed-shares
00791B,復華信用債1-5,tpex,,281100000,,universe:2026-09-03,2026-09-04,feed-shares
00792B,群益A級公司債,tpex,,2317615000,,universe:2026-09-03,2026-09-04,feed-shares
00793B,群益AAA-A醫療債,tpex,,2526000,,universe:2026-09-03,2026-09-04,feed-shares
00795B,中信美國公債20年,tpex,,1525598000,,universe:2026-09-03,2026-09-04,feed-shares
00799B,國泰A級醫療債,tpex,,26036000,,universe:2026-09-03,2026-09-04,feed-shares
00834B,第一金金融債10+,tpex,,23198000,,universe:2026-09-03,2026-09-04,feed-shares
00836B,永豐10年A公司債,tpex,,631041000,,universe:2026-09-03,2026-09-04,feed-shares
00840B,凱基IG精選15+,tpex,,59431000,,universe:2026-09-03,2026-09-04,feed-shares
00841B,凱基AAA-AA公司債,tpex,,70440000,,universe:2026-09-03,2026-09-04,feed-shares
00842B,台新美元銀行債,tpex,,20767000,,universe:2026-09-03,2026-09-04,feed-shares
00844B,台新15年IG金融債,tpex,,213175000,,universe:2026-09-03,2026-09-04,feed-shares
00845B,富邦新興投等債,tpex,,237051000,,universe:2026-09-03,2026-09-04,feed-shares
00846B,富邦歐洲銀行債,tpex,,74350000,,universe:2026-09-03,2026-09-04,feed-shares
00847B,中信美國市政債,tpex,,4305000,,universe:2026-09-03,2026-09-04,feed-shares
00848B,中信新興亞洲債,tpex,,136066000,,universe:2026-09-03,2026-09-04,feed-shares
00849B,中信EM主權債0-5,tpex,,486106000,,universe:2026-09-03,2026-09-04,feed-shares
00853B,統一美債10年Aa-A,tpex,,178134000,,universe:2026-09-03,2026-09-04,feed-shares
00856B,永豐1-3年美公債,tpex,,6792000,,universe:2026-09-03,2026-09-04,feed-shares
00857B,永豐20年美公債,tpex,,601268000,,universe:2026-09-03,2026-09-04,feed-shares
00858,永豐美國500大,tpex,,117874000,,universe:2026-09-03,2026-09-04,feed-shares
00859B,群益0-1年美債,tpex,,30011000,,universe:2026-09-03,2026-09-04,feed-shares
00860B,群益1-5Y投資級債,tpex,,2671000,,universe:2026-09-03,2026-09-04,feed-shares
00862B,中信投資級公司債,tpex,,879381000,,universe:2026-09-03,2026-09-04,feed-shares
00863B,中信全球電信債,tpex,,511964000,,universe:2026-09-03,2026-09-04,feed-shares
00864B,中信美國公債0-1,tpex,,109722000,,universe:2026-09-03,2026-09-04,feed-shares
00867B,台新A-BBB電信債,tpex,,565150000,,universe:2026-09-02,2026-09-03,feed-shares
00870B,元大15年EM主權債,tpex,,564151000,,universe:2026-09-03,2026-09-04,feed-shares
00877,復華中國5G,tpex,,163788000,,universe:2026-09-03,2026-09-04,feed-shares
00884B,中信低碳新興債,tpex,,75440000,,universe:2026-09-03,2026-09-04,feed-shares
00886,永豐美國科技,tpex,,4451000,,universe:2026-09-03,2026-09-04,feed-shares
00887,永豐中國科技50大,tpex,,447351000,,universe:2026-09-03,2026-09-04,feed-shares
00888,永豐台灣ESG,tpex,,656478000,,universe:2026-09-03,2026-09-04,feed-shares
00890B,凱基ESG BBB債15+,tpex,,18264000,,universe:2026-09-03,2026-09-04,feed-shares
00928,中信上櫃ESG 30,tpex,,43856000,,universe:2026-09-03,2026-09-04,feed-shares
00931B,統一美債20年,tpex,,2249898000,,universe:2026-09-03,2026-09-04,feed-shares
00933B,國泰10Y+金融債,tpex,,6520958000,,universe:2026-09-03,2026-09-04,feed-shares
00937B,群益ESG投等債20+,tpex,,17152805000,,universe:2026-09-03,2026-09-04,feed-shares
00942B,台新美A公司債20+,tpex,,2024959000,,universe:2026-09-03,2026-09-04,feed-shares
00948B,中信優息投資級債,tpex,,3988427000,,universe:2026-09-03,2026-09-04,feed-shares
00950B,凱基A級公司債,tpex,,4111809000,,universe:2026-09-03,2026-09-04,feed-shares
00955,中信日本商社,tpex,,503931000,,universe:2026-09-03,2026-09-04,feed-shares
00957B,兆豐US優選投等債,tpex,,188263000,,universe:2026-09-03,2026-09-04,feed-shares
00958B,永豐ESG銀行債15+,tpex,,121771000,,universe:2026-09-03,2026-09-04,feed-shares
00959B,大華投等美債15Y+,tpex,,510336000,,universe:2026-09-03,2026-09-04,feed-shares
00966B,統一ESG投等債15+,tpex,,116732000,,universe:2026-09-03,2026-09-04,feed-shares
00967B,元大優息美債,tpex,,181407000,,universe:2026-09-03,2026-09-04,feed-shares
00968B,元大優息投等債,tpex,,794011000,,universe:2026-09-03,2026-09-04,feed-shares
00969B,元大零息超長美債,tpex,,148133000,,universe:2026-09-03,2026-09-04,feed-shares
00970B,台新BBB投等債20+,tpex,,391229000,,universe:2026-09-03,2026-09-04,feed-shares
009806,台新標普500,tpex,,13661000,,universe:2026-09-03,2026-09-04,feed-shares
009807,台新標普科技精選,tpex,,14260000,,universe:2026-09-03,2026-09-04,feed-shares
00980B,台新特選IG債10+,tpex,,53569000,,universe:2026-09-03,2026-09-04,feed-shares
00980D,主動聯博投等入息,tpex,,101957000,,universe:2026-09-03,2026-09-04,feed-shares
00980T,平衡凱基美國TOP,tpex,,74918000,,universe:2026-09-03,2026-09-04,feed-shares
009814,富邦標普500,tpex,,152576000,,universe:2026-09-03,2026-09-04,feed-shares
009815,大華美國MAG7+,tpex,,431170000,,universe:2026-09-03,2026-09-04,feed-shares
00981B,第一金優選非投債,tpex,,1540113000,,universe:2026-09-03,2026-09-04,feed-shares
00981D,主動中信非投等債,tpex,,518800000,,universe:2026-09-03,2026-09-04,feed-shares
009822,華南永昌未來金融,tpex,,84556000,,universe:2026-09-03,2026-09-04,feed-shares
009823,群益S&P500,tpex,,351317000,,universe:2026-09-03,2026-09-04,feed-shares
009825,聯邦美國金融創新,tpex,,126208000,,universe:2026-09-03,2026-09-04,feed-shares
00982B,FT投資級債20+,tpex,,25900000,,universe:2026-09-03,2026-09-04,feed-shares
00983B,大華優利美公債20,tpex,,24653000,,universe:2026-09-03,2026-09-04,feed-shares
00984B,大華優利美A債15,tpex,,123433000,,universe:2026-09-03,2026-09-04,feed-shares
00985D,主動貝萊德優投等,tpex,,102232000,,universe:2026-09-03,2026-09-04,feed-shares
00986B,FT金融債10+,tpex,,20762000,,universe:2026-09-03,2026-09-04,feed-shares
00986D,主動復華金融債息,tpex,,148677000,,universe:2026-09-03,2026-09-04,feed-shares
00987B,野村10+澳洲公債,tpex,,72827000,,universe:2026-09-03,2026-09-04,feed-shares
00987D,主動統一美債量化,tpex,,95023000,,universe:2026-09-03,2026-09-04,feed-shares
00988B,玉山嚴選非投債,tpex,,161333000,,universe:2026-09-03,2026-09-04,feed-shares
00989B,台新美國非投等債,tpex,,81952000,,universe:2026-09-03,2026-09-04,feed-shares
00990B,國泰收益非投等債,tpex,,84350000,,universe:2026-09-03,2026-09-04,feed-shares
00998A,主動復華金融股息,tpex,,232609000,,universe:2026-09-03,2026-09-04,feed-shares
020025,統一亞洲半導體N,tpex,,200000000,,universe:2026-09-03,2026-09-04,feed-shares
020033,統一恒生科期N,tpex,,200000000,,universe:2026-09-03,2026-09-04,feed-shares
020041,兆豐半導體氣候N,tpex,,40000000,,universe:2026-09-03,2026-09-04,feed-shares
1101,台泥,twse,77231817420,7523181742,10,twse-opendata-L,2026-09-03,ok
1102,亞泥,twse,35465628810,3546562881,10,twse-opendata-L,2026-09-03,ok
1103,嘉泥,twse,8328745530,832874553,10,twse-opendata-L,2026-09-03,ok
1104,環泥,twse,6866818160,686681816,10,twse-opendata-L,2026-09-03,ok
1108,幸福,twse,4047380490,404738049,10,twse-opendata-L,2026-09-03,ok
1109,信大,twse,3411588680,341158868,10,twse-opendata-L,2026-09-03,ok
1110,東泥,twse,5720007970,572000797,10,twse-opendata-L,2026-09-03,ok
1201,味全,twse,5060629140,506062914,10,twse-opendata-L,2026-09-03,ok
1203,味王,twse,2400000000,240000000,10,twse-opendata-L,2026-09-03,ok
1210,大成,twse,8947672220,894767222,10,twse-opendata-L,2026-09-03,ok
1213,大飲,twse,566226270,56622627,10,twse-opendata-L,2026-09-03,ok
1215,卜蜂,twse,2947900980,294790098,10,twse-opendata-L,2026-09-03,ok
1216,統一,twse,56820154210,5682015421,10,twse-opendata-L,2026-09-03,ok
1217,愛之味,twse,4945133360,494513336,10,twse-opendata-L,2026-09-03,ok
1218,泰山,twse,4999990380,499999038,10,twse-opendata-L,2026-09-03,ok
1219,福壽,twse,3412383640,341238364,10,twse-opendata-L,2026-09-03,ok
1220,台榮,twse,1770779440,177077944,10,twse-opendata-L,2026-09-03,ok
1225,福懋油,twse,2422683060,242268306,10,twse-opendata-L,2026-09-03,ok
1227,佳格,twse,9150895910,915089591,10,twse-opendata-L,2026-09-03,ok
1229,聯華,twse,17959606680,1795960668,10,twse-opendata-L,2026-09-03,ok
1231,聯華食,twse,3282999220,328299922,10,twse-opendata-L,2026-09-03,ok
1232,大統益,twse,1599749150,159974915,10,twse-opendata-L,2026-09-03,ok
1233,天仁,twse,905919480,90591948,10,twse-opendata-L,2026-09-03,ok
1234,黑松,twse,4018710940,401871094,10,twse-opendata-L,2026-09-03,ok
1235,興泰,twse,1885778360,188577836,10,twse-opendata-L,2026-09-03,ok
1236,宏亞,twse,866740080,86674008,10,twse-opendata-L,2026-09-03,ok
1240,茂生農經,tpex,,46443992,,universe:2026-09-03,2026-09-04,feed-shares
1256,鮮活果汁-KY,twse,357813780,35781378,10,twse-opendata-L,2026-09-03,ok
1259,安心,tpex,,32389500,,universe:2026-09-03,2026-09-04,feed-shares
1260,富味鄉,emerging,1020981820,102098182,10,tpex-mopsfin-R,2026-09-03,ok
1264,德麥,tpex,,37052367,,universe:2026-09-03,2026-09-04,feed-shares
1268,漢來美食,tpex,,42223730,,universe:2026-09-03,2026-09-04,feed-shares
1269,乾杯,emerging,208824820,20882482,10,tpex-mopsfin-R,2026-09-03,ok
1271,晨暉生技,emerging,770890660,77089066,10,tpex-mopsfin-R,2026-09-03,ok
1293,利統,emerging,170941120,17094112,10,tpex-mopsfin-R,2026-09-03,ok
1294,漢田生技,tpex,,36625875,,universe:2026-09-03,2026-09-04,feed-shares
1295,生合,tpex,,37599800,,universe:2026-09-03,2026-09-04,feed-shares
1301,台塑,twse,63657407810,6365740781,10,twse-opendata-L,2026-09-03,ok
1303,南亞,twse,79308215890,7930821589,10,twse-opendata-L,2026-09-03,ok
1304,台聚,twse,11887635000,1188763500,10,twse-opendata-L,2026-09-03,ok
1305,華夏,twse,5810504940,581050494,10,twse-opendata-L,2026-09-03,ok
1307,三芳,twse,3978181260,397818126,10,twse-opendata-L,2026-09-03,ok
1308,亞聚,twse,5937439190,593743919,10,twse-opendata-L,2026-09-03,ok
1309,台達化,twse,3975868480,397586848,10,twse-opendata-L,2026-09-03,ok
1310,台苯,twse,5278697640,527869764,10,twse-opendata-L,2026-09-03,ok
1312,國喬,twse,15266203280,1506620328,10,twse-opendata-L,2026-09-03,ok
1313,聯成,twse,13308461070,1330846107,10,twse-opendata-L,2026-09-03,ok
1314,中石化,twse,37848501300,3784850130,10,twse-opendata-L,2026-09-03,ok
1315,達新,twse,990990000,99099000,10,twse-opendata-L,2026-09-03,ok
1316,上曜,twse,4016461500,401646150,10,twse-opendata-L,2026-09-03,ok
1319,東陽,twse,5914770680,591477068,10,twse-opendata-L,2026-09-03,ok
1321,大洋,twse,2272282680,227228268,10,twse-opendata-L,2026-09-03,ok
1323,永裕,twse,912745540,91274554,10,twse-opendata-L,2026-09-03,ok
1324,地球,twse,751218820,75121882,10,twse-opendata-L,2026-09-03,ok
1325,恆大,twse,852811980,85281198,10,twse-opendata-L,2026-09-03,ok
1326,台化,twse,58611862910,5861186291,10,twse-opendata-L,2026-09-03,ok
1336,台翰,tpex,,77614419,,universe:2026-09-03,2026-09-04,feed-shares
1337,再生-KY,twse,2689547290,268954729,10,twse-opendata-L,2026-09-03,ok
1338,廣華-KY,twse,838400000,83840000,10,twse-opendata-L,2026-09-03,ok
1339,昭輝,twse,741238750,74123875,10,twse-opendata-L,2026-09-03,ok
1340,勝悅-KY,twse,1529228550,152922855,10,twse-opendata-L,2026-09-03,ok
1341,富林-KY,twse,528506340,52850634,10,twse-opendata-L,2026-09-03,ok
1342,八貫,twse,780009020,78000902,10,twse-opendata-L,2026-09-03,ok
1343,旭東環保,emerging,405138740,40513874,10,tpex-mopsfin-R,2026-09-03,ok
1402,遠東新,twse,53528752270,5352875227,10,twse-opendata-L,2026-09-03,ok
1409,新纖,twse,16184092860,1618409286,10,twse-opendata-L,2026-09-03,ok
1410,南染,twse,620000000,62000000,10,twse-opendata-L,2026-09-03,ok
1413,宏洲,twse,1321124540,132112454,10,twse-opendata-L,2026-09-03,ok
1414,東和,twse,1980000000,198000000,10,twse-opendata-L,2026-09-03,ok
1416,廣豐,twse,1853421680,185342168,10,twse-opendata-L,2026-09-03,ok
1417,嘉裕,twse,1899418400,189941840,10,twse-opendata-L,2026-09-03,ok
1418,東華,twse,568343090,56834309,10,twse-opendata-L,2026-09-03,ok
1419,新紡,twse,3000412800,300041280,10,twse-opendata-L,2026-09-03,ok
1423,利華,twse,996480000,99648000,10,twse-opendata-L,2026-09-03,ok
1432,大魯閣,twse,1080000000,108000000,10,twse-opendata-L,2026-09-03,ok
1434,福懋,twse,16846646370,1684664637,10,twse-opendata-L,2026-09-03,ok
1435,中福,twse,1397800800,139780080,10,twse-opendata-L,2026-09-03,ok
1436,華友聯,twse,1941517950,194151795,10,twse-opendata-L,2026-09-03,ok
1437,勤益控,twse,2018712840,201871284,10,twse-opendata-L,2026-09-03,ok
1438,三地開發,twse,1112057590,111205759,10,twse-opendata-L,2026-09-03,ok
1439,雋揚,twse,920000000,92000000,10,twse-opendata-L,2026-09-03,ok
1440,南紡,twse,16568158570,1656815857,10,twse-opendata-L,2026-09-03,ok
1441,大東,twse,617443870,61744387,10,twse-opendata-L,2026-09-03,ok
1442,名軒,twse,3662113580,366211358,10,twse-opendata-L,2026-09-03,ok
1443,立益物流,twse,1353430110,135343011,10,twse-opendata-L,2026-09-03,ok
1444,力麗,twse,9955950590,995595059,10,twse-opendata-L,2026-09-03,ok
1445,大宇,twse,1306660340,130666034,10,twse-opendata-L,2026-09-03,ok
1446,宏和,twse,1377095130,137709513,10,twse-opendata-L,2026-09-03,ok
1447,力鵬,twse,9100712420,910071242,10,twse-opendata-L,2026-09-03,ok
1449,佳和,twse,1271145720,127114572,10,twse-opendata-L,2026-09-03,ok
1451,年興,twse,1980000000,198000000,10,twse-opendata-L,2026-09-03,ok
1452,宏益,twse,1326414000,132641400,10,twse-opendata-L,2026-09-03,ok
1453,大將,twse,1132430480,113243048,10,twse-opendata-L,2026-09-03,ok
1454,台富,twse,1298338480,129833848,10,twse-opendata-L,2026-09-03,ok
1455,集盛,twse,5316883800,531688380,10,twse-opendata-L,2026-09-03,ok
1456,怡華,twse,937200000,93720000,10,twse-opendata-L,2026-09-03,ok
1457,宜進,twse,3167300220,316730022,10,twse-opendata-L,2026-09-03,ok
1459,聯發,twse,2689716800,268971680,10,twse-opendata-L,2026-09-03,ok
1460,宏遠,twse,6946434840,694643484,10,twse-opendata-L,2026-09-03,ok
1463,強盛新,twse,1732683810,173268381,10,twse-opendata-L,2026-09-03,ok
1464,得力,twse,4255757330,425575733,10,twse-opendata-L,2026-09-03,ok
1465,偉全,twse,1036072670,103607267,10,twse-opendata-L,2026-09-03,ok
1466,聚隆,twse,1111573200,111157320,10,twse-opendata-L,2026-09-03,ok
1467,南緯,twse,2336246670,233624667,10,twse-opendata-L,2026-09-03,ok
1468,昶和,twse,1604052440,160405244,10,twse-opendata-L,2026-09-03,ok
1470,大統新創,twse,857670000,85767000,10,twse-opendata-L,2026-09-03,ok
1471,首利,twse,1504145360,150414536,10,twse-opendata-L,2026-09-03,ok
1472,三洋實業,twse,524880820,52488082,10,twse-opendata-L,2026-09-03,ok
1473,台南,twse,1461535340,146153534,10,twse-opendata-L,2026-09-03,ok
1474,弘裕,twse,1298969690,129896969,10,twse-opendata-L,2026-09-03,ok
1475,業旺,twse,660167490,66016749,10,twse-opendata-L,2026-09-03,ok
1476,儒鴻,twse,2743671110,274367111,10,twse-opendata-L,2026-09-03,ok
1477,聚陽,twse,2466937130,246693713,10,twse-opendata-L,2026-09-03,ok
1480,東盟開發,emerging,4160852170,416085217,10,tpex-mopsfin-R,2026-09-03,ok
1503,士電,twse,5209722230,520972223,10,twse-opendata-L,2026-09-03,ok
1504,東元,twse,23764406840,2376440684,10,twse-opendata-L,2026-09-03,ok
1506,正道,twse,3003885010,300388501,10,twse-opendata-L,2026-09-03,ok
1512,瑞利,twse,981834980,98183498,10,twse-opendata-L,2026-09-03,ok
1513,中興電,twse,5031125150,503112515,10,twse-opendata-L,2026-09-03,ok
1514,亞力,twse,2785706420,278570642,10,twse-opendata-L,2026-09-03,ok
1515,力山,twse,1814735000,181473500,10,twse-opendata-L,2026-09-03,ok
1516,川飛,twse,400081950,40008195,10,twse-opendata-L,2026-09-03,ok
1517,利奇,twse,2200000070,220000007,10,twse-opendata-L,2026-09-03,ok
1519,華城,twse,3474689290,347468929,10,twse-opendata-L,2026-09-03,ok
1521,大億,twse,762300000,76230000,10,twse-opendata-L,2026-09-03,ok
1522,堤維西,twse,3428978810,312897881,,twse-opendata-L,2026-09-03,mismatch:10.959
1524,耿鼎,twse,1653103970,165310397,10,twse-opendata-L,2026-09-03,ok
1525,江申,twse,734001350,73400135,10,twse-opendata-L,2026-09-03,ok
1526,日馳,twse,600000000,60000000,10,twse-opendata-L,2026-09-03,ok
1527,鑽全,twse,1385706400,138570640,10,twse-opendata-L,2026-09-03,ok
1528,恩德,twse,1913310000,191331000,10,twse-opendata-L,2026-09-03,ok
1529,樂事綠能,twse,1550950740,155095074,10,twse-opendata-L,2026-09-03,ok
1530,亞崴,twse,945941710,94594171,10,twse-opendata-L,2026-09-03,ok
1531,高林股,twse,1821080800,182108080,10,twse-opendata-L,2026-09-03,ok
1532,勤美,twse,4226042710,422604271,10,twse-opendata-L,2026-09-03,ok
1533,車王電,twse,985474860,98547486,10,twse-opendata-L,2026-09-03,ok
1535,中宇,twse,1237425520,123742552,10,twse-opendata-L,2026-09-03,ok
1536,和大,twse,2789595130,278959513,10,twse-opendata-L,2026-09-03,ok
1537,廣隆,twse,820627940,82062794,10,twse-opendata-L,2026-09-03,ok
1539,巨庭,twse,653700000,65370000,10,twse-opendata-L,2026-09-03,ok
1540,喬福,twse,854736120,85473612,10,twse-opendata-L,2026-09-03,ok
1541,錩泰,twse,788000000,78800000,10,twse-opendata-L,2026-09-03,ok
1558,伸興,twse,645356310,64535631,10,twse-opendata-L,2026-09-03,ok
1560,中砂,twse,1502894560,150289456,10,twse-opendata-L,2026-09-03,ok
1565,精華,tpex,,50416516,,universe:2026-09-03,2026-09-04,feed-shares
1568,倉佑,twse,1030865590,103086559,10,twse-opendata-L,2026-09-03,ok
1569,濱川,tpex,,144247441,,universe:2026-09-03,2026-09-04,feed-shares
1570,力肯,tpex,,51500839,,universe:2026-09-03,2026-09-04,feed-shares
1580,新麥,tpex,,49339242,,universe:2026-09-03,2026-09-04,feed-shares
1582,信錦,twse,1442686040,144268604,10,twse-opendata-L,2026-09-03,ok
1583,程泰,twse,1094003720,109400372,10,twse-opendata-L,2026-09-03,ok
1584,精剛,tpex,,232470533,,universe:2026-09-03,2026-09-04,feed-shares
1586,和勤,tpex,,129500467,,universe:2026-09-03,2026-09-04,feed-shares
1587,吉茂,twse,800556720,80055672,10,twse-opendata-L,2026-09-03,ok
1590,亞德客-KY,twse,1999999980,199999998,10,twse-opendata-L,2026-09-03,ok
1591,駿吉-KY,tpex,,38048047,,universe:2026-09-03,2026-09-04,feed-shares
1593,祺驊,tpex,,39784772,,universe:2026-09-03,2026-09-04,feed-shares
1594,日高,emerging,332200000,33220000,10,tpex-mopsfin-R,2026-09-03,ok
1595,川寶,tpex,,57724656,,universe:2026-09-03,2026-09-04,feed-shares
1597,直得,twse,892618040,89261804,10,twse-opendata-L,2026-09-03,ok
1598,岱宇,twse,1791420920,179142092,10,twse-opendata-L,2026-09-03,ok
1599,宏佳騰,tpex,,73028764,,universe:2026-09-03,2026-09-04,feed-shares
1603,華電,twse,1916880000,191688000,10,twse-opendata-L,2026-09-03,ok
1604,聲寶,twse,3842000000,384200000,10,twse-opendata-L,2026-09-03,ok
1605,華新,twse,44313329480,4431332948,10,twse-opendata-L,2026-09-03,ok
1608,華榮,twse,6327735060,632773506,10,twse-opendata-L,2026-09-03,ok
1609,大亞,twse,7852619440,785261944,10,twse-opendata-L,2026-09-03,ok
1611,中電,twse,3227357420,322735742,10,twse-opendata-L,2026-09-03,ok
1612,宏泰,twse,3160800630,316080063,10,twse-opendata-L,2026-09-03,ok
1614,三洋電,twse,2691134060,269113406,10,twse-opendata-L,2026-09-03,ok
1615,大山,twse,1986303390,198630339,10,twse-opendata-L,2026-09-03,ok
1616,億泰,twse,1941485150,194148515,10,twse-opendata-L,2026-09-03,ok
1617,榮星,twse,1695147000,169514700,10,twse-opendata-L,2026-09-03,ok
1618,合機,twse,1926917470,192691747,10,twse-opendata-L,2026-09-03,ok
1623,大東電,twse,660000000,66000000,10,twse-opendata-L,2026-09-03,ok
1626,艾美特-KY,twse,1498217210,149821721,10,twse-opendata-L,2026-09-03,ok
1702,南僑,twse,2941329620,294132962,10,twse-opendata-L,2026-09-03,ok
1707,葡萄王,twse,1481373730,148137373,10,twse-opendata-L,2026-09-03,ok
1708,東鹼,twse,2490016510,249001651,10,twse-opendata-L,2026-09-03,ok
1709,和益,twse,4770162720,477016272,10,twse-opendata-L,2026-09-03,ok
1710,東聯,twse,8857030290,885703029,10,twse-opendata-L,2026-09-03,ok
1711,永光,twse,5477522260,547752226,10,twse-opendata-L,2026-09-03,ok
1712,興農,twse,4204925850,420492585,10,twse-opendata-L,2026-09-03,ok
1713,國化,twse,1509517000,150951700,10,twse-opendata-L,2026-09-03,ok
1714,和桐,twse,9918248080,991824808,10,twse-opendata-L,2026-09-03,ok
1717,長興,twse,11842454830,1184245483,10,twse-opendata-L,2026-09-03,ok
1718,中纖,twse,16859057450,1685905745,10,twse-opendata-L,2026-09-03,ok
1720,生達,twse,1965656980,196565698,10,twse-opendata-L,2026-09-03,ok
1721,三晃,twse,1848840920,184884092,10,twse-opendata-L,2026-09-03,ok
1722,台肥,twse,9800000000,980000000,10,twse-opendata-L,2026-09-03,ok
1723,中碳,twse,2369044800,236904480,10,twse-opendata-L,2026-09-03,ok
1725,元禎,twse,1818299780,181829978,10,twse-opendata-L,2026-09-03,ok
1726,永記,twse,1620000000,162000000,10,twse-opendata-L,2026-09-03,ok
1727,中華化,twse,1280195590,128019559,10,twse-opendata-L,2026-09-03,ok
1730,花仙子,twse,632338510,63233851,10,twse-opendata-L,2026-09-03,ok
1731,美吾華,twse,1329152440,132915244,10,twse-opendata-L,2026-09-03,ok
1732,毛寶,twse,424439570,42443957,10,twse-opendata-L,2026-09-03,ok
1733,五鼎,twse,999501920,99950192,10,twse-opendata-L,2026-09-03,ok
1734,杏輝,twse,1901967740,190196774,10,twse-opendata-L,2026-09-03,ok
1735,日勝化,twse,993880000,99388000,10,twse-opendata-L,2026-09-03,ok
1736,喬山,twse,3033946170,303394617,10,twse-opendata-L,2026-09-03,ok
1737,臺鹽,twse,2000000000,200000000,10,twse-opendata-L,2026-09-03,ok
1742,台蠟,tpex,,92671300,,universe:2026-09-03,2026-09-04,feed-shares
1752,南光,twse,1009884720,100988472,10,twse-opendata-L,2026-09-03,ok
