r,D,lo,hi,CI不含0,b_30,b_38.2,b_45,b_50,b_55,b_61.8,b_70,n_30,n_38.2,n_45,n_50,n_55,n_61.8,n_70
14,0.0011933641757067709,-0.007729708582323207,0.010116436933736749,False,0.5265561790421506,0.5124286681497243,0.503167898627244,0.5053982300884956,0.49835886214442016,0.495016283430376,0.48203350664355865,7663,10339,11364,11300,10968,10133,8655
15,-0.004859996422915,-0.01226597391726996,0.002545981071439961,False,0.5106990014265336,0.5003398388193029,0.49876456053653373,0.5067769758845274,0.49424762600438277,0.485620785402618,0.4876500461680517,7711,10299,11332,11362,10952,10084,8664
16,-0.0035753975101521784,-0.011232090748683666,0.004081295728379309,False,0.5111342622737336,0.5025228022511159,0.5093354570392,0.5087055926837847,0.4913942263910391,0.49162288093585804,0.4907290107105839,7679,10306,11301,11372,10981,10087,8683
17,0.00632899039080248,-0.0018208714402669444,0.014478852221871905,False,0.5180925303696046,0.512192761757306,0.48918205804749343,0.4957819021401296,0.49422464756707596,0.4925106636246404,0.4825916532165091,7738,10334,11370,11261,10995,10081,8674
18,-0.001705645414333365,-0.009888526771485813,0.006477235942819083,False,0.5182170542635659,0.5082014947102785,0.49969045723887856,0.5030431331039957,0.4977753563969854,0.4901690916240661,0.4878808864265928,7740,10303,11307,11337,11013,10172,8664
19,-0.007783733368319362,-0.016099803628134658,0.0005323368914959357,False,0.5198164903784886,0.49879401833092135,0.5000440645104433,0.49664014146772767,0.4999078510873572,0.4905604428190175,0.49007544979686596,7847,10365,11347,11310,10852,10117,8615
20,0.0062808101803379784,-0.0009384169756507799,0.013500037336326737,False,0.5150006383250351,0.5076594919526857,0.5021111893033076,0.5137590635100899,0.4925495184444848,0.49821393133558245,0.476962259782357,7833,10314,11368,11447,11006,10078,8638
21,-0.004911554936083265,-0.012544514290711378,0.0027214044185448483,False,0.5268460655528632,0.5113931352754543,0.5041979673000442,0.503426462836057,0.5073873543177021,0.4953168593064966,0.49463482173762546,7841,10401,11315,11382,10897,10036,8667
22,-0.00026868120634675197,-0.008895830787591756,0.008358468374898252,False,0.5203781781014437,0.5071705426356589,0.5035124692658939,0.5009724186704385,0.49808464064210145,0.49434187016081,0.4821242624088858,7827,10320,11388,11312,10964,10074,8643
23,0.003406469793584707,-0.0048463202141966494,0.011659259801366064,False,0.5174717368961973,0.5125181246979217,0.5003108072107273,0.5062141912736888,0.4990880904614262,0.4958099181701666,0.48615957199348686,7784,10345,11261,11345,10966,10143,8598
24,-0.000670617958854966,-0.00836019860088615,0.007018962683176219,False,0.5194373401534527,0.5107594325967384,0.502027503526093,0.5038241758241758,0.49564665336477415,0.4922619047619048,0.4916136495083864,7820,10363,11344,11375,11026,10080,8645
25,-0.0036317400400775884,-0.010775562237909594,0.003512082157754416,False,0.5236250968241674,0.5025252525252525,0.5002644103648863,0.5003943563228463,0.4918406418087337,0.4898725422389092,0.4835924006908463,7746,10296,11346,11411,10969,10121,8685
26,0.0037603677791133994,-0.0038258029432047718,0.01134653850143157,False,0.5241759651147877,0.5150469618554725,0.4980275269571316,0.49947136563876654,0.4894765739385066,0.49272349272349275,0.48881937203105086,7797,10434,11407,11350,10928,10101,8631
27,-0.008704208064336874,-0.01789972662010706,0.0004913104914333125,False,0.5164144652474993,0.4989889263360616,0.5107095636844425,0.5031285802414736,0.4968696125578441,0.4885685884691849,0.4859382203780544,7798,10385,11345,11347,11021,10060,8676
28,0.00019257542911355063,-0.00652310800296092,0.0069082588611880215,False,0.5255950857435372,0.511795671670891,0.5083120766997977,0.5075394404253465,0.4974168403879271,0.4961832061068702,0.48386345100780614,7814,10258,11369,11473,11033,10087,8583
29,0.006009850157264532,-0.0016875078773048776,0.013707208191833941,False,0.5177059276366436,0.5111260957518543,0.49955845990815967,0.5026311173478337,0.4969240657423561,0.5004470938897169,0.48491852536692476,7794,10381,11324,11402,10891,10065,8653
