Date,SecuritiesCompanyCode,CompanyName,CompanyAbbreviation,Registration,SecuritiesIndustryCode,Address,UnifiedBusinessNo.,Chairman,GeneralManager,Spokesman,TitleOfSpokesman,DeputySpokesperson,Telephone,DateOfIncorporation,DateOfListing,ParValueOfCommonStock,Paidin.Capital.NTDollars,PrivateStock.shares,PreferredStock.shares,PreparationOfFinancialReportType,StockTransferAgent,StockTransferAgentTelephone,StockTransferAgentAddress,AccountingFirm,CPA.CharteredPublicAccountant.First,CPA.CharteredPublicAccountant.Second,Symbol,Fax,EmailAddress,WebAddress,IssueShares
1150908,1742,台灣蠟品股份有限公司,台蠟,－ ,21,"3rd Floor, No. 610, Section 2, Zhongshan South Road, Dayuan DistrictTaoyuan City, Taiwan, R.O.C.",22625269,陳霆瑞,陳霆瑞,曾柏堯,財務副總經理,待聘任,02-8797-8678,19870813,20040514,新台幣                 10.0000元,926713000,46057341,0,1,康和綜合證券股份有限公司,02-87871118,台北市信義區基隆路一段176號B1,安侯建業聯合會計師事務所,毛聖&#23895;,張淑瑩,TWC,02-8751-9678,twx6688@ms26.hinet.net,http://www.wax.com.tw/,92671300
1150908,1777,生泰合成工業股份有限公司,生泰,－ ,22,"No.168 Kai Yuan Rd., Hsin Ying DistrictTainan City 73055, Taiwan, R.O.C",72197621,蕭振明,洪俊誠,蕭振明,董事長,莊美琪,06-6362121~3,19821109,20051019,新台幣                 10.0000元,445917130,0,0,2,元大證券股份有限公司股務代理部,(02)2586-5859,106臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,葉芳婷,徐惠榆,SYN-TECH,06-6351165,fc3@syn-tech.com.tw,https://www.syn-tech.com.tw,44591713
1150908,1780,立弘生化科技股份有限公司,立弘,－ ,02,"13TH FL.,NO71 SEC.2 TUN-HWA SOUTH ROAD.TAIPEI.10682 TAIWAN, R.O.C",12971536,楊正利,楊斌,楊幸慧,協理,楊子萱,27030209,20011225,20260617,新台幣                 10.0000元,1090751730,0,0,1,群益金鼎證券股份有限公司,27023999,台北市敦化南路二段97號B2,資誠聯合會計師事務所,阮呂曼玉,林雅慧,ABC,27030289,eyang@altratene.com,www.altratene.com/tw,109075173
1150908,1781,合世生醫科技股份有限公司,合世,－ ,22,"9F.NO.186 Jian Yi  Road Chung Ho CityTaipei,Taiwan",97304042,楊國和,李紹弘,李淑芬,財務處副總,沈瞬良,82271300,19961216,20041224,新台幣                 10.0000元,474076050,0,0,1,富邦綜合證券股份有限公司,02-2361-1300,台北市中正區許昌街17號2樓,資誠聯合會計師事務所,林瑟凱,周筱姿,H&L,82271301,public@hlmt.com.tw,www.healthandlife.com.tw,47407605
1150908,1784,訊聯生物科技股份有限公司,訊聯,－ ,22,"1F,No.28, Ln. 36 , Xinhu 1st  Rd.Neihu Dist.,Taipei  City 11497, , Taiwan",70836411,蔡政憲,康清原,康清原,總經理,楊志峰,(02)27951777,20000817,20070726,新台幣                 10.0000元,531211910,0,0,1,中國信託商業銀行(股)公司代理部,(02)66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,黃珮娟,鄧聖偉,BIONET CORP.,(02)27938009,investment@BionetCorp.com,http://www.BionetCorp.com,53121191
1150908,1785,光洋應用材料科技股份有限公司,光洋科,－ ,31,"No.1, Gongye 3rd Rd., Annan Dist,Tainan City 70955, Taiwan (R.O.C.)",43787872,鄭憲松,&#40644;&#21843;峰,&#40644;&#21843;峰,總經理,顏英哲,06-5110123,19780829,20050131,新台幣                 10.0000元,5959507430,0,0,1,永豐金證券股份有限公司,02-23816288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,楊朝欽,李季珍,Solar,06-3843216,shareholders@solartech.com.tw,http://www.solartech.com.tw/tw/index.html,595950743
1150908,1788,杏昌生技股份有限公司,杏昌,－ ,22,"8F.2,NO.2,Ln.609,Sec.5,Chongxin Rd.,Sanchong Dist.,New Taipei City 24159,TaiwaR.O.C.",23161816,李忠良,陳國師,李映芬,管理處副總經理,張耀元,6626-1166,19890213,20090720,新台幣                 10.0000元,445209710,0,0,1,台新綜合證券(股)公司股務代理部,02-25048125,台北市中山區建國北路1段96號地下1樓,安侯建業聯合會計師事務所,楊樹芝,洪士剛,HCI,2995-3363,jerry_pon108@hiclearance.com.tw,www.hiclearance.com.tw,44520971
1150908,1796,金穎生物科技股份有限公司,金穎生技,－ ,02,"No.33,Shin-Kung RdShinying City,Tainan County,Taiwan",16962158,張曉莉,金晉德,蕭興義,副總經理,金晉德,06-5109001,19990717,20180122,新台幣                 10.0000元,414597930,0,0,1,兆豐證券股份有限公司,(02)33930898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,徐惠榆,林秀珊,GeneFerm,06-5055750,geneferm@geneferm.com,http://www.geneferm.com,41459793
1150908,1799,易威生醫科技股份有限公司,易威,－ ,22,"1F., No.10, Yanfa 2nd Road, Hsinchu Science ParkHsinChu 30076, TAIWAN(R.O.C)",16570131,林翰飛,李艾平,吳雪君,財務協理,洪筠,(03)666-9596,19980810,20081110,新台幣                 10.0000元,2487758940,77002580,0,1,宏遠證券股份有限公司股務代理部,(02)2326-8818,臺北市大安區信義路四段236號3樓,資誠聯合會計師事務所,劉倩瑜,蔡欣怡,EASYWELL,(03)666-9697,spokesman@easywellbio.com,http://www.easywellbio.com,248775894
1150908,1813,寶利徠光學科技股份有限公司,寶利徠,－ ,22,"No. 406, Changfa Rd., Dayuan Dist.Taoyuan City 33759, Taiwan R.O.C.",84449952,宋一新,倪鏡如,倪鏡如,總經理,陸芸平,03-3853934,19930922,20090804,新台幣                 10.0000元,466355100,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市松山區敦化南路二段97號B2,勤業眾信聯合會計師事務所,趙永祥,陳彥君,Polylite,03-3863837,info@gialens.com.tw,http://www.gialens.com.tw　,46635510
1150908,1815,富喬工業股份有限公司,富喬,－ ,28,"NO8.Dou Kong 16 RoadDou Leu City,Taiwan.",16834268,張元賓,張晉碩,胡銘倫,協理,黃少梅,02-27357658,19990114,20060123,新台幣                 10.0000元,5854594870,0,0,1,富喬工業股份有限公司股務室,02-2705-1333,台北市敦化南路二段九十八號十二樓,勤業眾信聯合會計師事務所,劉建良,王儀雯,FFG,02-27357698,fulltech@ffg.com.tw,http://www.ffg.com.tw,585459487
1150908,2035,唐榮鐵工廠股份有限公司,唐榮公司,－ ,10,"No.4,  Yen Hai 2nd Rd., Hsiao Kang .,Kaohsiung City,Taiwan ROC",75460005,趙健在,陳政雄,劉岳前,管理部門副總經理,林郁,07-8022811,19400501,20060707,新台幣                 10.0000元,3500000000,0,0,2,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路2段97號地下2樓,安侯建業會計師事務所,黃欣婷,韓沂璉,TE　　,07-8010801,teweb@mail.tangeng.com.tw,http://www.tangeng.com.tw,350000000
1150908,2061,風青實業股份有限公司,風青,－ ,06,"30F.-4, No. 38, Xinguang Rd., Lingya Dist.,Kaohsiung City 802, Taiwan (R.O.C.)",89260422,陳信宇,陳信宇,蔡玉賢,稽核主管,王文英,07-2693339,19940910,20101209,新台幣                 10.0000元,573780520,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,資誠聯合會計師事務所,吳建志,王駿凱,FENG CHING,07-2693515,r7873942@ms23.hinet.net,http://www.fcm.com.tw,57378052
1150908,2063,世鎧精密股份有限公司,世鎧精密,－ ,10,"NO.1, Ben Gong 1st Rd., Ben Chou Industrial Park, Kangshan TownKaohsiung82059, Taiwan",86637206,杜泰源,林上安,鄭守傑,副總經理,張威健,07-6225669,19920428,20100907,新台幣                 10.0000元,481014530,0,0,1,永豐金證券股份有限公司,02-23816288,10044台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,許凱甯,劉承翰,SHEH KAI,07-6230964,roger@shehkai.com.tw,www.shehkai.com.tw,48101453
1150908,2064,晉椿工業股份有限公司,晉椿,－ ,10,"No.24, Lugong Rd., Chang Bin Industrial ParkLugang Town, Chang Hua County , Taiwan",30826319,陳譽,蕭良賢,陳譽,董事長,黃俊勳,04-7810000,19710510,20141226,新台幣                 10.0000元,693300000,0,0,1,群益金鼎證券股份有限公司,02-27035000,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,吳仲舜,黃采絹,CAMELLIA,04-7810099,cametal.taiwan@msa.hinet.net,http://www.camelliametal.com,69330000
1150908,2065,世豐螺絲股份有限公司,世豐,－ ,10,"No.810, Fuxing W. Rd.Kaohsiung City 82547, Taiwan (R.O.C.)",31213886,杜泰源,陳駿彥,陳秀珠,副總,陳姿吟,07-6116116,19730809,20170421,新台幣                 10.0000元,635167070,0,0,1,富邦綜合證券股份有限公司,02-23611300,台北市中正區許昌街17號11樓,安侯建業聯合會計師事務所,蘇彥達,許振隆,SF,07-6197589,shehfung@shehfung.com,https://www.shehfung.com/index.php?lang=cht,63516707
1150908,2066,世德工業股份有限公司,世德,－ ,05,"No.20,HuaxiRd.,Ta-Fa Industrial Dist.Kaohsiung County 831 Taiwan,R.O.C.",22546808,陳光裕,陳光裕,陳怡樺,財務主管,黃雅鈴,07-7889168,19880129,20130924,新台幣                 10.0000元,444495270,0,0,1,台新綜合證券(股)公司股務代理部,02-25048125,台北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,陳永祥,許振隆,SUMEEKO,07-7887868,invest@sumeeko.com,www.sumeeko.com,44449527
1150908,2067,嘉鋼精密工業股份有限公司,嘉鋼,－ ,05,"21 Chenggong 2nd St. Minxiong Township,Chia Yi County, Taiwan",66402912,曹恆健,陳龍芳,陳龍芳,總經理,蕭景淑,(05)2211411,19740411,20140526,新台幣                 10.0000元,338581770,0,0,1,中國信託商業銀行代理部,(02)66365566,台北市重慶南路一段83號5樓,國富浩華聯合會計師事務所,李國銘,蔡淑滿,CYSTEEL,(05)2208033,abby@cysteel.com.tw,http://www.cysteel.com.tw/,33858177
1150908,2070,精湛光學科技股份有限公司,精湛,－ ,05,"No. 58,Lane 110,Zhongxiao St.,Hu-Nei Dist., Kaohsiung City 82945,TaiwanKaohsiung 82945, Taiwan",89855649,吳俊男,許宏安,許宏安,總經理,吳虹臻,07-6937937,19940921,20181217,新台幣                 10.0000元,417828000,0,0,1,福邦證券股份有限公司,02-2383-6888,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,林秀珊,葉芳婷,Ching Chan,07-6937772,ccm@ccm3s.com,http://www.ccm3s.com/,41782800
1150908,2073,雄順金屬股份有限公司,雄順,－ ,10,"No. 393, Shun'an Rd., Luzhu Dist.,Kaohsiung City 821010, Taiwan",24512261,陳恆毅,郭穎謙,陳以妙,董事長特助,蘇靖婷,07-6960166,20100421,20230621,新台幣                 10.0000元,275000000,0,0,2,永豐金證券(股)公司股務代理部,02-2381-6288,台北市中正區博愛路17號3樓,勤業眾信聯合會計師事務所,劉承翰,劉裕祥,SSMC,07-6968123,ir@ssmc.com.tw,www.ssmc.com.tw,27500000
1150908,2221,大甲永和機械工業股份有限公司,大甲,－ ,20,"No.69 ,Yu-Shih Rd., Dajia Dist.Taichung City  437, Taiwan",56615319,黃士峰,鍾志清,鍾志清,總經理,王淑瑜,04-26815496,19770819,20070801,新台幣                 10.0000元,423250000,0,0,1,凱基證券股份有限公司,02-2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,蔣淑菁,劉力維,DAJA、YHMCO　,04-26815456,yhmco@yhmco.com.tw,http://www.yhmco.com.tw/,42325000
1150908,2230,泰茂實業股份有限公司,泰茂,－ ,38,"10 Shih Chien Street Kuan Tien Industrial ParkTainan City 720, Taiwan (R.O.C.)",86070187,呂萬賢,呂萬傑,呂萬傑,總經理,吳美玲,06-6991235,19910206,20130418,新台幣                 10.0000元,680296050,0,0,1,兆豐證券股份有限公司,(02)3393-0898,臺北市忠孝東路二段95號8樓,立本台灣聯合會計師事務所,程建憲,陶鴻文,C.T.I.,06-6990675,cti@ctico.com.tw,http://www.ctico.com.tw/,68029605
1150908,2235,謚源實業股份有限公司,謚源,－ ,05,"No.24,Dinghu Rd.,Guishan TownshipTaoyuan County,Taiwan(R.O.C.)",22479934,吳碣石,吳碣石,王妤暄,發言人,吳哲瑋,(03)3973868,19870416,20141215,新台幣                 10.0000元,358780000,0,0,2,統一證券股份有限公司股務代理部,(02)27478266,台北市松山區東興路8號B1樓,安永聯合會計師事務所,李育儒,王瑄瑄,I YUAN,(03)3973199,florence@tiy-motor.com.tw,www.tiy-motor.com,35878000
1150908,2596,綠意開發股份有限公司,綠意,－ ,14,"2F,NO.69,CIVIL BOULEVARD, Sec.5Taipei, Taiwan, R.O.C.",12860948,許燈城,許燈城,許志豪,特別助理,林秀娟,(02)8787-8096,20010504,20090601,新台幣                 10.0000元,1000000000,0,0,1,福邦證券股份有限公司,(02)2371-1658,台北市忠孝西路一段6號6樓,安侯建業聯合會計師事務所,黃明宏,陳雅琳,ReaLy,(02)8787-3416,services@realycorp.com.tw,www.realycorp.com.tw,100000000
1150908,2640,台灣大車隊股份有限公司,大車隊,－ ,36,"2F., No.162, Sec. 2, Chang’an E. Rd., Zhongshan Dist.,Taipei City 104, Taiwan (R.O.C.)",27767961,林村田,楊榮輝,林念臻,執行長,張天瑋,02-25160966,20050909,20121107,新台幣                 10.0000元,592649560,0,0,1,凱基證券(股)公司-股務代理部,02-23892999,台北市中正區重慶南路一段2號5樓,資誠聯合會計師事務所,支秉鈞,涂展源,55688,02-25160900,ir@taiwantaxi.com.tw,www.taiwantaxi.com.tw,59264956
1150908,2641,正德海運股份有限公司,正德,－ ,15,"3F, No.31, Haibian Rd., Lingya Dist.,Kaohsiung City 802, Taiwan (R.O.C.)",16467798,蔡秉叡,張寶安,鄭宇宏,財務經理,申翔宇,07-9697988,19980929,20141009,新台幣                 10.0000元,3303337440,0,0,1,福邦證券股務代理部,02-2383-6888,台北市中正區忠孝西路一段6號6樓,資誠聯合會計師事務所,王駿凱,廖阿甚,Franbo Lines,07-9697997,kevincheng@franbo.com.tw,www.franbo.com.tw,330333744
1150908,2643,捷迅股份有限公司,捷迅,－ ,15,"4F, NO. 34, Rui Guang Rd.,Taipei, 11491 Taiwan, R. O. C.",12479610,顧城明,孫鋼銀,葉子菁,副總經理,楊永華,(02)8792-9897,19840213,20160304,新台幣                 10.0000元,350000000,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市重慶南路一段83號5樓,勤業眾信聯合會計師事務所,劉力維,尤盟貴,Soonest,(02)8792-9658,soonestinv@soonest.com.tw,http://www.soonest.com,35000000
1150908,2718,全心投資控股股份有限公司,全心投控,－ ,14,"7F., No. 30, Sec. 3, Bade Rd., Songshan Dist.Taipei City , Taiwan",12198180,楊顯玲,劉潔芝,劉潔芝,總經理,夏美足,02-2570-8800,19770408,20110329,新台幣                 10.0000元,875760000,0,0,1,元大證券股份有限公司,02-2586-3117,臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,李秀玲,林瑟凱,Allmind,02-2570-9911,tiffany.sha@allmindholdings.com.tw,www.allmindholdings.com.tw,87576000
1150908,2719,台鋼燦星國際旅行社股份有限公司,燦星旅,－ ,16,"7F., No. 161、163, Sec. 2, Minsheng E. Rd., Zhongshan Dist.Taipei City, Taiwan",80355209,侯佑霖,羅俊英,羅俊英,總經理,待補,(02)8183-3888,20030224,20120224,新台幣                 10.0000元,691825000,60581954,0,1,康和綜合證券股份有限公司,02-8787-1118,台北市信義區基隆路一段176號B1,資誠聯合會計師事務所,田中玉,林秀珊,Star Travel,(02)2796-6168,-,www.startravel.com.tw,69182500
1150908,2724,藝舍國際創新股份有限公司,藝舍-KY,KY 開曼群島                                                    ,20,"13F.-6, No. 111, Huajiang 1st Rd., Banqiao Dist.,New Taipei City  220, Taiwan (R.O.C.)",28982799,賴運興,李宗錦,賴運興,董事長,林紫芳,(02)2999-5968,20020115,20120529,新台幣                 10.0000元,596563450,40570200,0,1,第一金證券股份有限公司,(02)2563-5711,台北市大安區安和路一段27號六樓,安侯建業聯合會計師事務所,池世欽,黃欣婷,AAGD-KY,(02)2254-6872,investors@aagd.com.tw,https://www.aagd.com.tw/,59656345
1150908,2726,雅茗天地股份有限公司,雅茗-KY,KY 開曼群島                                                    ,16,"Oleander Way, 802 West Bay Road, P.O. Box 32052, Grand Cayman KY1-1208, CaymanCayman Island",38634004,吳伯超,江錫毅,江錫毅,總經理,"張乃方, 詹文良",(02)2790-0689,20091222,20141224,新台幣                 10.0000元,379224540,3000000,0,1,中國信託商業銀行股份有限公司,(02)6636-5566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,張至誼,洪國田,Yummy Town,(02)2790-0601,affairs@yummy-town.com,http://www.yummy-town.tw/,37922454
1150908,2729,瓦城泰統股份有限公司,瓦城,－ ,16,"7F.-1, No.176, Jian 1st Rd., Zhonghe Dist.,New Taipei City 235, Taiwan (R.O.C.)",70843031,徐承義,徐承義,范嘉玲,財務長,陳俐伶,(02)8227-1280,20000908,20120917,新台幣                 10.0000元,430407830,0,0,1,富邦綜合證券(股)公司,02-23611300,台北市中正區許昌街17號11樓,資誠聯合會計師事務所,王菘澤,謝瑋莉,TTFB,(02)8227-1290,IR@ttfb.com,http://www.ttfb.com,43040783
1150908,2732,六角國際事業股份有限公司,六角,－ ,16,"No.98, Gaotie 9th Rd.,Zhubei City, Hsinchu County 302, Taiwan",80671769,王耀輝,王耀輝,黃筱喻,投資人關係經理,黃如萍,(03)550-7750,20040216,20150120,新台幣                 10.0000元,465185700,0,0,1,永豐金證券(股)公司股務代理部,(02)2381-6288,台北市博愛路17號3樓,勤業眾信聯合會計師事務所,劉怡青,張正修,La Kaffa,03-6579630,lakaffamail@lakaffa.com.tw,http://www.lakaffagroup.com/,46518570
1150908,2734,易飛網國際旅行社股份有限公司,易飛網,－ ,16,"2F-1, No.51, Hengyang Rd.,Taipei, Taiwan",70464468,周昀生,周昀生,周昀生,董事長,張瑞琳,(02)7725-0800,19991222,20131226,新台幣                 10.0000元,572597600,0,0,1,中國信託商業銀行代理部,(02)6636-5566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,蘇郁琇,彭詩玄,Ezfly,(02)6601-4600,invest@ezfly.com,https://www.ezfly.com/,57259760
