Date,SecuritiesCompanyCode,CompanyName,CompanyAbbreviation,Registration,SecuritiesIndustryCode,Address,UnifiedBusinessNo.,Chairman,GeneralManager,Spokesman,TitleOfSpokesman,DeputySpokesperson,Telephone,DateOfIncorporation,DateOfListing,ParValueOfCommonStock,Paidin.Capital.NTDollars,PrivateStock.shares,PreferredStock.shares,PreparationOfFinancialReportType,StockTransferAgent,StockTransferAgentTelephone,StockTransferAgentAddress,AccountingFirm,CPA.CharteredPublicAccountant.First,CPA.CharteredPublicAccountant.Second,Symbol,Fax,EmailAddress,WebAddress,IssueShares
1150908,2252,為昇科科技股份有限公司,為昇科,－ ,31,"m.7, 6F., No.38, Taiyuan St.,Zhubei City, Hsinchu County Taiwan",45127518,黃淑媛,洪元通,洪元通,執行長兼總經理,錢永祥,(03)560-0289,20160722,20210823,新台幣                 10.0000元,1066175000,0,0,1,第一金證券股份有限公司,(02)2563-5711,台北市大安區安和路一段27號六樓,安侯建業聯合會計師事務所,劉振興,陳燕慧,CUBTEK,(03)560-0291,investor@cubtek.com,https://www.cubtek.com/,106617500
1150908,2255,凱銳光電股份有限公司,凱銳光電,－ ,31,"7F.-2, No. 300, Yangguang St., Neihu Dist.Taipei City 114 , Taiwan (R.O.C.)",27420770,林傳凱,林傳凱,林傳凱,董事長,蔡仁晃,(02)5582-1818,20040811,20211130,新台幣                 10.0000元,609325000,0,0,1,台新證券股務代理部,02-25048125,臺北市中山區建國北路一段96號B1,安侯建業聯合會計師事務所,吳仲舜,黃采絹,JET,02-5582-0098,IR@jet-opto.com.tw,https://www.jet-opto.com.tw,60932500
1150908,2256,歐特明電子股份有限公司,歐特明,－ ,31,"9 F.-2, No. 8, Keyan Rd., East Dist.,Hsinchu City 300192, Taiwan (R.O.C.)",54101167,吳錫慶,吳錫慶,廖健武,財務處長,莊煜芳,03-6667968,20121212,20211208,新台幣                 10.0000元,425240000,0,0,1,中國信託商業銀 代理部,(02)6636-5566,臺北市中正區重慶南路一段83號5樓,資誠聯合會計師事務所,蔣承翰,白淑蒨,oToBrite,03-6667186,sales@otobrite.com,https://www.otobrite.com/,42524000
1150908,2644,中信造船股份有限公司,中信造船,－ ,15,"No. 92, Ln. 108, Zhongzhou 3rd Rd. Qijin Dist.,Kaohsiung City 805301 , Taiwan (R.O.C.)",82050180,韓碧祥,韓育霖,韓育霖,總經理,黃逢徵,07-5719000,19731222,20221011,新台幣                 10.0000元,829516960,0,0,1,兆豐證券股份有限公司,(02)33930898,台北市中正區忠孝東路二段95 號1樓,勤業眾信聯合會計師事務所,王騰葦,許凱甯,JSSC,07-5718671,jongshyn@jssc.com.tw,https://www.jongshyn.com/,82951696
1150908,2733,維格餅家股份有限公司,維格餅家,－ ,16,"6F., No. 87-1, Sec. 1, Chengtai Rd.,Wugu Dist., New Taipei City 248, Taiwan",80490319,余佩佩,余佩佩,李欣倫,行政管理處協理,李文賀副總,02-2291-9122,20030626,20121224,新台幣                 10.0000元,245984000,0,0,1,台新綜合證券(股)公司股務代理部,02-2504-8125,台北市中山區建國北路1段96號地下1樓,資誠聯合會計師事務所,林柏全,王菘澤,Vigor Kobo,02-2291-9179,service@vigorkobo.com,https://www.vigorkobo.com/,24598400
1150908,2741,人杰老四川餐飲管理顧問(股)公司,老四川,－ ,16,"No.597, Wenxue Rd., Zuoying Dist.,Kaohsiung City 813, Taiwan (R.O.C.)",28836494,陳淑萍,陳淑萍,陳淑萍,總經理,吳詩麒,07-3416222,20071228,20141028,新台幣                 10.0000元,225882810,0,0,2,凱基證券股份有限公司股務代理部,02-23892999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,王騰葦,許凱甯,Oldsichuan,07-3500222,@oldsichuan.com.tw,http://www.oldsichuan.com.tw,22588281
1150908,2758,路易莎職人咖啡股份有限公司,路易莎咖啡,－ ,16,"No. 55, Jianguo 1st Rd.,Xinzhuang Dist., NewTaipei City 242,",54857699,驊穎有限公司,黃銘賢,盧贊宇,財會處資深協理,黃佳雯,02-8978-1628,20150722,20210917,新台幣                 10.0000元,204861210,0,0,1,台新證券股務代理部,02-2504-8125,台北市中山區建國北路一段96號地下一樓,安侯建業聯合會計師事務所,江曉苓,吳趙仁,LOUISA COFFEE,02-2901-0608,investor@louisacoffee.com.tw,https://www.louisacoffee.co/,20486121
1150908,2760,巨宇翔股份有限公司,巨宇翔,－ ,16,"21F-2,NO.88,SEC.1.HUIZHONG RD.,XITUN DISTTAICHUNG CITY 407,TAIWAN",82766468,許維翔,許維翔,黃郁芬,財務經理,無,(04)22530011,20181005,20221226,新台幣                 10.0000元,130000000,0,0,1,兆豐證券股份有限公司股務代理部,(02)23278988,台北市中正區忠孝東路二段95號1樓,勤業眾信聯合會計師事務所,蔡宗遠,郭乃華,CYH,(04)22532200,dingtea.lindesy@dingtea.com,https://www.dingtea.com/,13000000
1150908,2761,橘焱胡同國際股份有限公司,橘焱胡同,－ ,16,"2F., No. 5, Aly. 2, Siwei Ln., Zhongzheng Rd., Xindian Dist.New Taipei City 231 , Taiwan(R.O.C.)",53352952,吳念忠,楊哲瑋,楊哲瑋,總經理,張文婷,(02)2218-9868,20110628,20220413,新台幣                 10.0000元,173366260,0,0,1,台新綜合證券股務代理部,(02)2504-8125,台北市中山區建國北路一段96號B1樓,安侯建業聯合會計師事務所,唐嘉鍵,黃明宏,GYEN HUTONG,(02)2218-9768,IR@gyen.com.tw,https://gyen.com.tw,17336626
1150908,2938,床的世界股份有限公司,床的世界,－ ,38,"No.88, Sec. 1, Jiuzong Rd., Neihu DistTaipei City 114, Taiwan (R.O.C.)",80646713,陳三傑,陳三傑,牟迪,財務長,許文誠,02-66266688,20040209,20161005,新台幣                 10.0000元,201400000,0,0,1,統一綜合證券股份有限公司,02-27478266,台北市松山區東興路8號B1樓,勤業眾信聯合會計師事務所,邱政俊,劉怡青,BEDDING WORLD,02-87928554,cservice@beddingworld.com.tw,www.beddingworld.com.tw,20140000
1150908,2940,歐都納股份有限公司,歐都納,－ ,37,"No.400, Sec. 2, Zhangshui Rd., Pitou Township,Changhua County 523, Taiwan (R.O.C.)",59112564,程鯤,吳雪敏,吳雪敏,總經理,蔡佳君,04-23583456,19750327,20250505,新台幣                 10.0000元,251842690,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安永聯合會計師事務所,黃宇廷,賴書晨,SUNOWN,04-23588609,IR01@mail.atunas.com.tw,http://www.atunas.com.tw/,25184269
1150908,2942,京站實業股份有限公司,京站,－ ,38,"No.1, Sec. 1, Chengde Rd., Datong Dist.,Taipei,Taiwan,R.O.C.",28710621,林怡均,王大政,陳岱慧,協理,薛振宇,(02)2182-8888,20070920,20180331,新台幣                 10.0000元,600000000,0,0,1,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,方涵妮,楊清鎮,Jing-Jan,(02)2555-1399,louisa@qsquare.com.tw,http://www.qsquare.com.tw/,60000000
1150908,3097,拍檔科技股份有限公司,拍檔,－ ,25,"2F., No. 206, Jian 8th Rd., Zhonghe Dist., New Taipei City 235SHIN TIEN,TAIPEI,TAIWAN,R.O.C.　",23622986,陳其宏,王保鋅,王保鋅,總經理,劉銘哲,29188500,19900221,20020802,新台幣                 10.0000元,750856050,0,0,1,富邦綜合證券(股)公司股務代理部,(02)2361-1300,台北市100中正區許昌街十七號十一樓,安侯建業聯合會計師事務所,高靚玟,尹元聖,PTT　,29112344,stock_affairs@partner.com.tw,partnertechcorp.com,75085605
1150908,3117,年程科技股份有限公司,年程,－ ,28,"NO.32 , Lane 863,Kou Shin Rd., Yang Mei 　Taoyuan , Taiwan , R.O.C　　",89379218,薛維進,薛志豪,傅從芳,經理,黃曉娟,(03)4962286,19950413,20120831,新台幣                 10.0000元,228000000,0,0,1,第一金證券股份有限公司,(02)2563-5711,10688台北市大安區安和路一段27號6樓,安永聯合會計師事務所,陳國帥,林政緯,TECSTAR　　,(03)4962285,tecstar@tecstar.com.tw,www.tecstar.com.tw,22800000
1150908,3184,微邦科技股份有限公司,微邦,－ ,22,"No.756, Jiadong Rd.Bade Dist, Taoyuan City, Taiwan",97454724,李欣,劉天來,劉天來,總經理,洪珮瑩,(03)376-7555,19970512,20130418,新台幣                 10.0000元,630744770,0,0,1,凱基證券股份有限公司,(02)2389-2999,台北市重慶南路一段2號5樓,安永聯合會計師事務所,張巧穎,張正道,MBTC　,(03)376-7557,mktcom@microbasetech.com,https://microbasetech.com/,63074477
1150908,3194,圓方科技股份有限公司,圓方科技,－ ,30,"5F., No.16, Lane 15, Sec. 6, Mincyuan E. Rd., Neihu District,Taipei, Taiwan, R.O.C　　",89839297,戎偉章,林彥廷,林彥廷,總經理,劉淑君,(02)2793-9628,19940903,20260730,新台幣                 10.0000元,139150000,0,0,1,群益金鼎證券(股)公司股務代理部,(02)2703-5000,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,傅泓文,洪士剛,HyperNet　　,(02)2793-6377,Info@hypernet.com.tw,www.hypernet.com.tw　　,13915000
1150908,3473,智通聯網科技股份有限公司,智通聯網,－ ,27,"5F-3, No.9,Zhanye 1st Rd.,East Dist.,Hsinchu City 300,TaiwanHsinchu, Taiwan R.O.C.",16843870,李怡德,李怡德,李珮莉,協理,葉慧如,03-5638889,19990514,20250811,新台幣                 10.0000元,225114750,0,0,2,群益金鼎證券(股)公司股務代理部,02-27035000,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,吳俊源,鄭安志,Fiber Logic,03-5638899,investor@fiberlogic.com,www.fiberlogic.com,22511475
1150908,3585,聯致科技股份有限公司,聯致,－ ,28,"498-2, Nan San Rd., Sec. 2, Luchu,Taoyuan Hsien, Taiwan",16742182,李長明,陳福龍,蘇連芳,財會主管,陳福龍,03-3246000,19980915,20071025,新台幣                 10.0000元,1116786240,0,0,1,宏遠證券股份有限公司股務代理部,(02) 77198899,台北市信義路四段236號3樓,資誠聯合會計師事務所,林雅慧,王菘澤,AMC,03-3247000,IR@amcorp.com.tw,http://www.amcorp.com.tw,111678624
1150908,3595,山太士股份有限公司,山太士,－ ,26,"No.158, Lane 28, Yanhe St.,Zhubei City, Hsinchu County 302,Taiwan",89716605,吳學宗,張師誠,吳學宗,董事長,張師誠,03-5550999,19951003,20071116,新台幣                 10.0000元,406959380,0,0,1,台新證券股務代理部,(02)25048125,台北市建國北路一段96號地下一樓,致遠聯合會計師事務所,曾瓊慧,曾瑞燕,AMC,03-5551717,amc@amctape.com,http://www.amctape.com,40695938
1150908,3603,建祥國際股份有限公司,建祥國際,－ ,29,"No.3-4, Wuquan 1st Rd., Xinzhuang Dist.,New Taipei City 242, Taiwan (R.O.C.)",80337786,陳銘銓,陳銘銓,陳銘銓,董事長,曾麗玉,02-22983377,20020704,20080109,新台幣                 10.0000元,248442640,0,0,1,群益金鼎證券股份有限公司,02-27023999,106台北市大安區敦化南路二段97號B2,廣信益群聯合會計師事務所,彭(系秀)娟,梁宏瑋,UC&GN,02-22980077,ir@uc-gn.com,http://www.uc-gn.com,24844264
1150908,3633,云光科技股份有限公司,云光,－ ,26,"5-1F,No.35, Hsin-Tai Rd.Chupai City, Hsinchu Hsien, Taiwan(302)",16177616,許家滂,許家滂,徐鈺雯,經理,許富雄,03-5545488,19971113,20080806,新台幣                 10.0000元,340236430,0,0,1,群益金鼎證券股份有限公司,02-2702-3999,台北市敦化南路二段97號地下2樓,安侯建業聯合會計師事務所,鄒依芸,韓沂璉,ECC,03-5545489,wennyhsu@epoch-optic.com,http://www.epoch-optic.com/,34023643
1150908,3644,凌嘉科技股份有限公司,凌嘉科,－ ,24,"No.16,Keyuan 1st Road,Xitun Dist.,Taichung City,Taiwan ,R.O.C.",70626771,梁瑞芳,梁瑞芳,洪鏗評,董事長室特助,江蕙君,(04)24608771,19990915,20260615,新台幣                 10.0000元,833000000,0,0,1,凱基證券股份有限公司股務代理部,(02)2389-2999,台北市重慶南路一段2號5樓,勤業眾信聯合會計師事務所,吳少君,蔣淑菁,LINCOTEC,(04)24608779,linco.ir@lincotec.com,https:// www.lincotec.com,83300000
1150908,3659,百辰光電股份有限公司,百辰,－ ,26,"3F., No.28, Aly. 20, Ln. 26, Ruiguang Rd., Neihu DistTaipei City 114062, Taiwan (R.O.C.)",80493934,林百祁,林百祁,曾繁宜,協理,何宜芳,02-6600-6610,20030707,20091019,新台幣                 10.0000元,547739300,0,0,1,台新證券股務代理部,02-25048125,104496台北市建國北路一段96號地下一樓,安侯建業聯合會計師事務所,江曉苓,許淑敏,Bison,02-6600-6617,otto_tseng@bisontech.com.tw,http://www.bisontech.com.tw,54773930
1150908,3678,聯享光電股份有限公司,聯享,－ ,26,"No.199, Sec. 3, Huanbei Rd.Zhubei City, Hsinchu 302, Taiwan, R.O.C.",12767387,賴俊光,賴俊光,黃淑美,副總經理,甘國忠,03-6561668,20010319,20091022,新台幣                 10.0000元,264220000,0,0,2,中國信託商業銀行代理部,02-66365566,100台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,鍾鳴遠,張雅芸,Ushine,03-6561568,fin@ushine.com.tw,www.ushine.com.tw,26422000
1150908,4115,善德生化科技股份有限公司,善德生技,－ ,22,"No.16, Chung-Chen Rd., Chung-Ming Village, Pao-Chung HsiangYunlin County 63441, Taiwan (R.O.C.)",16549813,胡智凱,胡智凱,陳明政,稽核室經理,郭怡芬,(05)6976985,19980716,20220831,新台幣                 10.0000元,600000000,0,0,1,元大證券股份有限公司,(02)25865859,臺北市大安區敦化南路2段67號地下一樓,勤業眾信聯合會計師事務所,吳少君,吳麗冬,SUNDER　　,(05)6976986,kenny@sunder.com.tw,http://www.sunder.com.tw,60000000
1150908,4117,普生股份有限公司,普生,－ ,22,"#6,INNOVATION FIRST ROAD,SCIENCE-BASED PARK,HSIN CHU,TAIWAN,R.O.C",47299918,林宗慶,林孟德,林孟德,總經理,施金妹,(03)5779221,19840611,20020704,新台幣                 10.0000元,708243700,10000000,0,1,兆豐證券股份有限公司,(02)3393-0898,台北市忠孝東路二段95號1樓,資誠聯合會計師事務所,劉倩瑜,李典易,GBC,(03)5779227,frank.lin@gbc.com.tw,www.gbc.com.tw,70824370
1150908,4170,鑫品生醫科技股份有限公司,鑫品生醫,－ ,22,"6F-11, No.97,Sec.1 Xintai 5th Rd., Xizhi Dist.,New Taipei City, Taiwan (R.O.C.)",27545820,張所鑄,歐明昌,歐明昌,總經理,張所鑄,02-2697-1100,20041223,20231228,新台幣                 10.0000元,437713700,0,0,1,華南永昌綜合證券股務代理部,(02)2718-6425,10574台北市松山區民生東路四段54號4樓,資誠聯合會計師事務所,蔡蓓華,王銘義,VBI,02-2697-1155,info@yuva.com.tw,www.vectorite.com.tw,43771370
1150908,4172,因華生技製藥股份有限公司,因華,－ ,22,"9F.,No.20,9F.,No.22,Lane 478,Rueiguang Rd.Neihu District, Taipei,Taiwan,R.O.C.",27964549,林智暉,郝為華,郝為華,總經理,施宇耿,02-87977607,20051027,20120913,新台幣                 10.0000元,1195755000,0,0,2,元大證券(股)公司股務代理部,02-25865859,臺北市大安區敦化南路2段67號地下一樓,資誠聯合會計師事務所,王菘澤,蔡蓓華,InnoPharmax,02-87975627,investor@innopharmax.com,www.innopharmax.com.tw,119575500
1150908,4186,台灣尖端先進生技醫藥(股)公司,尖端醫,－ ,22,"(22180)12F., No.25, Ln. 169, Kangning St., Xizhi DistNew Taipei City ,221,Taiwan(R.O.C)",70774029,蘇文龍,蘇文龍,蘇文龍,董事長,陳鈺霖,(02)2692-6222,20000525,20121127,新台幣                 10.0000元,900000000,0,0,2,統一綜合證券(股)公司股務代理部,(02)2746-3797,(10570)台北市松山區東興路8號B1樓,安侯建業聯合會計師事務所,陳明輝,寇惠植,TABP,(02)2692-6229,lung@biotest.com.tw,http://www.biotest.com.tw,90000000
1150908,4194,禾伸堂生技股份有限公司,禾生技,－ ,22,"4F, No. 88, Sec. 1, Neihu Rd., Neihu Dist.,Taipei, Taiwan, R.O.C.",12681706,唐錦榮,楊晴華,陳玉芝,商業暨臨床法規處處長,楊晴華,0287975966,20010118,20131213,新台幣                 10.0000元,1459744000,0,0,1,中國信託商業銀行代理部,02-66365566,台北市重慶南路一段83號5樓,安侯建業聯合會計師事務所,陳蓓琪,于紀隆,HSHC,0226279729,raymondyang@hshc.com.tw,www.hshc.com.tw,145974400
1150908,4197,暐世生物科技股份有限公司,暐世,－ ,22,"No.335, Sec. 6, Zhonghua Rd.,Hsinchu City 30094, Taiwan",28031449,戴鏗碩,戴鏗碩,吳建勳,財務部副總,張治平,(03)518-1918,20051115,20131024,新台幣                 10.0000元,301809250,0,0,1,台中銀證券股份有限公司,(02)2586-5859,台北市忠孝東路一段85號4樓-1、4樓-3,勤業眾信聯合會計師事務所,曾建銘,施錦川,VIS,(03)518-1908,ir@visgeneer.com.tw,http://www.visgeneer.com.tw,30180925
1150908,4431,敏成健康科技股份有限公司,敏成健康,－ ,20,"19 F., No. 107, Minsheng Rd.Taoyuan Dist., Taoyuan City, Taiwan",23883150,楊弘仁,陳蓬萱,陳蓬萱,總經理,李幸燕,03-3330567,19900806,20110830,新台幣                 10.0000元,365355140,0,0,1,群益金鼎證券股份有限公司,02-27023999,台北市大安區敦化南路二段97號B2,安侯建業聯合會計師事務所,寇惠植,張肇文,Mytrex Health,03-4638346,4431@mytrex-health.com,https://www.mytrex-health.com/,36535514
1150908,4537,旭東機械工業股份有限公司,旭東,－ ,26,"No.30, Houke S. Rd., Houli Dist., Taichung City 421, Taiwan (R.O.C.)Taichuang,Taiwan",56690647,莊添財,黃棨杉,呂海淋,財務部經理,林育信,04-25561000,19830517,20120503,新台幣                 10.0000元,788400000,0,0,1,富邦綜合證券股份有限公司,02-23611300,台北市100中正區許昌街17號11樓,安侯建業聯合會計師事務所,陳燕慧,陳政學,STMC,04-25561889,stmc@shuztung.com.tw,http://www.wisepioneer.com.tw,78840000
1150908,4544,春日機械工業股份有限公司,春日,－ ,05,"No. 50, Dabao St., Gangshan Dist.Kaohsiung City, Taiwan (R.O.C.)",85721346,翁重鈞,陳信孝,陳信孝,總經理,鐘奕涵,07-6212196,19740311,20121224,新台幣                 10.0000元,602900480,0,0,1,國票綜合證券(股)公司股務代理部,(02)2528-8988,台北市松山區南京東路五段188號15樓,資誠聯合會計師事務所,徐惠榆,田中玉,Chun Zu,07-6221718,chunzu@ms9.hinet.net,www.chunzu.com.tw,60290048
1150908,4553,盛復工業股份有限公司,盛復,－ ,05,"No.8,19th Rd.,Taichung Industrial Park,Taichung 40850,Taiwan",52757548,廖述源,廖乾宏,何宗賢,財務長,洪嘉霜,(04)23592768,19831227,20140916,新台幣                 10.0000元,330200000,0,0,2,兆豐證券股份有限公司股務代理部,(02)33930898,台北市忠孝東路二段95號1樓,國富浩華聯合會計師事務所,林明壽,黃千真,ALFOT,(04)23593570,info@alfot.com,http://www.alfot.com,33020000
1150908,4559,久裕興業科技股份有限公司,久裕興,－ ,37,"No. 9, Lane 462, Sec. 4Chang-Ping Rd. Daya-Taichung, Taiwan,",55942764,陳世偉,陳松君,陳松君,總經理,蔡杰原,(04)2566-8888,19811014,20141208,新台幣                 10.0000元,600000000,0,0,1,第一金證券(股)公司股務代理部,(02)2563-5711,10688台北市大安區安和路一段27號6樓,資誠聯合會計師事務所,賴志維,王玉娟,Joy-tech,(04)2566-1185,acc@joy-tech.com.tw,http://www.joy-tech.com.tw,60000000
1150908,4565,宏偉電機工業股份有限公司,宏偉,－ ,05,"No.33, Wuquan 5th Rd., Wugu Dist., New Taipei City 248,Taiwan (R.O.C.)",35945095,黃埮城,陳顯堂,鄭龍加,經理,李欣頻,(02)22993348,19790205,20161005,新台幣                 10.0000元,617400000,0,0,1,中國信託商業銀行代理部,(02)66365566,台北市中正區重慶南路一段83號5樓,勤業眾信聯合會計師事務所,邱鏞銘,陳文香,Hong-Wei,(02)22990676,ir@volbin.com,http://www.volbin.com,61740000
1150908,4570,傑生工業股份有限公司,傑生,－ ,05,"No.3-35,Zhonghe Rd.,Ligang Shiang,Pintung County 905,Taiwan(R.O.C)",80012106,莊耀輝,莊耀輝,王新元,行政副總,王順家,08-7733899,20030317,20240314,新台幣                 10.0000元,440000000,0,0,1,華南永昌股務代理部,(02)2718-6425,台北市松山區民生東路四段54號4樓,勤業眾信聯合會計師事務所,王兆群,郭麗園,JASON,08-7734415,johnson.wang@jason-auto.com.tw,www.jason-auto.com.tw,44000000
1150908,4573,高明鐵企業股份有限公司,高明鐵,－ ,05,"No. 357, Sec. 1, Yaofeng Rd.,Puxin Township, Changhua County, Taiwan",89338287,陳志鑫,陳志鑫,陳志鑫,董事長暨總經理,陳淑玲,04-8282825,19950225,20180726,新台幣                 10.0000元,456965800,0,0,1,台新證券股務代理部,02-2504-8125,台北市中山區建國北路一段96號B1,勤業眾信聯合會計師事務所,蘇定堅,吳少君,GMT,04-8285215,IR@gmt.tw,https://www.gmtglobalinc.com,45696580
1150908,4575,銓寶工業股份有限公司,銓寶,－ ,05,"No. 688-1, Sec. 3, Zhong-shan Rd.,Taichung 414, Taiwan",97532545,睿蓁投資股份有限公司代表人：楊仁耀,楊仁耀,林俊琪,財務長,徐慧伶,04-23388289,19811120,20181119,新台幣                 10.0000元,386685000,0,0,1,華南永昌綜合證券股份有限公司,02-27186425,105台北市民生東路四段54號4樓,安永聯合會計師事務所,羅文振,黃子評,CHUMPOWER,04-23372285,cpulations@chumpower.com,https://www.chumpower.com,38668500
