n_slots,trades,slot_use,expo,tmax,S,T,wk,chosen
955,11790,0.6256901272777545,0.6396473526356341,11803,S0,T1,*,956
956,11792,0.625141667795257,0.6390846501015558,11803,S0,T1,*,956
960,11793,0.6225897040034072,0.6365072526271585,11803,S0,T1,*,956
1024,11803,0.5841727833528535,0.5980910267884104,11803,S0,T1,*,956
2048,11803,0.29208639167642675,0.3020236071636809,11803,S0,T1,*,956
4096,11803,0.14604319583821337,0.15189352792356636,11803,S0,T1,*,956
8192,11803,0.07302159791910669,0.07618582755559365,11803,S0,T1,*,956
16384,11803,0.036510798959553344,0.03815512418168314,11803,S0,T1,*,956
32768,11803,0.018255399479776672,0.019093428303169718,11803,S0,T1,*,956
54602,11803,0.010955513170823815,0.011462277906247249,11803,S0,T1,*,956
8,8,0.9953271028037384,0.9953271028037384,670,S0,T0,主格窗,670
16,16,0.9953271028037384,0.9953271028037384,670,S0,T0,主格窗,670
32,32,0.9953271028037384,0.9953271028037384,670,S0,T0,主格窗,670
64,64,0.9953271028037384,0.9953271028037384,670,S0,T0,主格窗,670
128,128,0.9953271028037384,0.9953271028037384,670,S0,T0,主格窗,670
256,256,0.9953271028037384,0.9953271028037384,670,S0,T0,主格窗,670
512,512,0.9953271028037384,0.9953271028037384,670,S0,T0,主格窗,670
591,591,0.9953271028037384,0.9953271028037325,670,S0,T0,主格窗,670
630,630,0.9953271028037384,0.9953271028037352,670,S0,T0,主格窗,670
650,650,0.9953271028037384,0.995327102803725,670,S0,T0,主格窗,670
660,660,0.9953271028037384,0.9953271028037267,670,S0,T0,主格窗,670
665,665,0.9953271028037384,0.9953271028037325,670,S0,T0,主格窗,670
667,667,0.9953271028037384,0.9953271028037317,670,S0,T0,主格窗,670
668,668,0.9953271028037384,0.9953271028037319,670,S0,T0,主格窗,670
669,669,0.9953271028037384,0.9953271028037313,670,S0,T0,主格窗,670
670,670,0.9953271028037384,0.9953271028037276,670,S0,T0,主格窗,670
8,8,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
16,16,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
32,32,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
64,64,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
128,128,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
256,256,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
313,313,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
342,342,0.9991356957649092,0.9995676610462559,371,S0,T0,全窗,371
356,356,0.9991356957649092,0.9995676610462557,371,S0,T0,全窗,371
363,363,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
367,367,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
369,369,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
370,370,0.9991356957649092,0.9995676610462559,371,S0,T0,全窗,371
371,371,0.9991356957649092,0.9995676610462603,371,S0,T0,全窗,371
